t,v1,h1,a1,v2,h2,a2
0.033,,,,,,
0.533,0.0,0.1,,,,
1.033,0.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
3.033,4.0,0.1,,,,
,,,,,,
4.033,16.0,0.1,,,,
4.533,19.0,0.1,,,,
5.033,19.0,0.1,,,,
5.533,21.0,0.1,,,,
6.033,27.0,0.1,,,,
6.533,32.0,0.1,0.13025257673575713,,,
7.033,40.0,1.0,0.1755578208177596,,,
,,,,,,
,,,,,,
,,,,,,
9.033,69.0,11.0,0.21661569826707439,,,
,,,,,,
,,,,,,
10.533,93.0,0.2,0.26192094234907687,,,
11.033,101.0,0.2,0.30156303092082903,,,
11.533,110.0,0.2,0.31855249745158,,,
12.033,117.0,0.2,0.34120511949258125,,,
12.533,125.0,0.2,0.38651036357458374,,,
13.033,134.0,0.3,0.4261524521463359,,,
13.533,142.0,0.3,0.43747876316683654,,,
14.033,151.0,0.3,0.4601313852078378,,,
14.533,159.0,0.3,0.4601313852078378,,,
15.033,167.0,0.3,0.4643787518405255,,,
15.533,176.0,0.4,0.47004190735077583,,,
16.033,184.0,0.4,0.47004190735077567,,,
16.533,192.0,0.4,0.46437875184052535,,,
17.033,201.0,0.4,0.475705062861026,,,
17.533,210.0,0.5,0.4813682183712763,,,
18.033,218.0,0.5,0.475705062861026,,,
18.533,228.0,0.5,0.48703137388152656,,,
19.033,237.0,0.6,0.48703137388152656,,,
19.533,247.0,0.6,0.4983576849020272,,,
20.033,256.0,0.6,0.5040208404122775,,,
20.533,265.0,0.7,0.5040208404122775,,,
21.033,275.0,0.7,0.5153471514327783,,,
21.533,284.0,0.8,0.5210103069430286,,,
22.033,293.0,0.8,0.5210103069430286,,,
22.533,303.0,0.8,0.526673462453279,,,
23.033,312.0,0.9,0.5323366179635293,,,
23.533,322.0,0.9,0.5323366179635293,,,
,,,,,,
24.533,342.0,1.0,0.5379997734737796,,,
25.033,351.0,1.1,0.5323366179635293,,,
25.533,361.0,1.1,0.5379997734737796,,,
,,,,,,
26.533,382.0,1.2,0.546494506739155,,,
27.033,392.0,1.3,0.546494506739155,,,
27.533,402.0,1.3,0.5521576622494053,,,
28.033,411.0,1.4,0.5521576622494053,,,
,,,,,,
29.033,433.0,1.5,0.5578208177596556,,,
29.533,444.0,1.6,0.5691471287801563,,,
30.033,454.0,1.6,0.5691471287801563,,,
