t,v1,h1,a1,v2,h2,a2
0.033,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3.033,4.0,-0.0,,,,
3.533,5.0,-0.0,,,,
,,,,,,
4.533,7.0,-0.0,,,,
5.033,13.0,-0.0,,,,
5.533,20.0,0.0,,,,
6.033,26.0,0.0,,,,
6.533,32.0,0.0,,,,
7.033,39.0,0.0,,,,
7.533,45.0,0.0,0.22652622041001244,,,
8.033,52.0,0.0,0.2661683089817647,,,
8.533,57.0,0.0,0.2944840865330162,,,
9.033,68.0,0.0,0.35111564163551934,,,
9.533,75.0,0.0,0.38509457469702124,,,
10.033,84.0,0.0,0.40208404122777214,,,
10.533,91.0,0.0,0.40208404122777214,,,
,,,,,,
11.533,107.0,0.1,0.41341035224827277,,,
12.033,116.0,0.1,0.4303998187790237,,,
12.533,124.0,0.1,0.43606297428927404,,,
13.033,131.0,0.1,0.4417261297995243,,,
13.533,140.0,0.1,0.4530524408200249,,,
14.033,148.0,0.2,0.47004190735077583,,,
14.533,155.0,0.2,0.44738928530977456,,,
15.033,165.0,0.2,0.4643787518405255,,,
,,,,,,
16.033,181.0,0.2,0.4587155963302751,,,
16.533,190.0,0.3,0.4700419073507757,,,
17.033,198.0,0.3,0.4700419073507757,,,
17.533,208.0,0.3,0.47570506286102604,,,
,,,,,,
18.533,225.0,0.4,0.4785366406161512,,,
19.033,234.0,0.4,0.48986295163665183,,,
19.533,243.0,0.5,0.48986295163665183,,,
20.033,252.0,0.5,0.49552610714690215,,,
20.533,261.0,0.5,0.5068524181674028,,,
21.033,270.0,0.6,0.5011892626571525,,,
,,,,,,
22.033,289.0,0.7,0.509683995922528,,,
22.533,298.0,0.7,0.509683995922528,,,
23.033,308.0,0.7,0.5210103069430286,,,
23.533,317.0,0.8,0.5153471514327783,,,
24.033,327.0,0.8,0.5238418846981537,,,
24.533,336.0,0.9,0.5238418846981537,,,
25.033,346.0,0.9,0.529505040208404,,,
25.533,356.0,1.0,0.5351681957186544,,,
26.033,366.0,1.0,0.5408313512289047,,,
26.533,376.0,1.1,0.546494506739155,,,
,,,,,,
27.533,396.0,1.2,0.5493260844942801,,,
28.033,406.0,1.2,0.5549892400045304,,,
28.533,417.0,1.3,0.5606523955147807,,,
29.033,427.0,1.4,0.5663155510250311,,,
29.533,437.0,1.4,0.5663155510250311,,,
,,,,,,
30.533,458.0,1.6,0.5748102842904066,,,
31.033,471.0,1.6,0.5917997508211574,,,
31.533,481.0,1.7,0.5917997508211574,,,
32.033,493.0,1.7,0.6031260618416581,,,
32.533,503.0,1.8,0.6031260618416581,,,
33.033,515.0,1.9,0.6144523728621587,,,
33.533,526.0,2.0,0.620115528372409,,,
34.033,537.0,2.0,0.620115528372409,,,
34.533,549.0,2.1,0.6314418393929097,,,
,,,,,,
,,,,,,
36.033,583.0,2.3,0.6389927134065767,,,
36.533,596.0,2.4,0.6531506021822026,,,
37.033,608.0,2.5,0.6474874466719522,,,
37.533,622.0,2.6,0.6701400687129535,,,
38.033,633.0,2.6,0.6644769132027032,,,
38.533,645.0,2.7,0.6758032242232038,,,
,,,,,,
39.533,670.0,2.9,0.6786348019783289,,,
40.033,683.0,3.0,0.6899611129988296,,,
40.533,696.0,3.1,0.7012874240193302,,,
41.033,709.0,3.2,0.7069505795295805,,,
41.533,722.0,3.3,0.7163891720466644,,,
42.033,735.0,3.4,0.7163891720466644,,,
42.533,748.0,3.5,0.7220523275569146,,,
43.033,762.0,3.6,0.7220523275569146,,,
43.533,776.0,3.7,0.7390417940876656,,,
44.033,789.0,3.8,0.7447049495979159,,,
44.533,803.0,3.9,0.7531996828632914,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.033,866.0,4.7,0.7305470608222902,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51.033,912.0,6.4,0.7003435647676218,,,
51.533,919.0,5.5,0.6663646317061199,,,
,,,,,,
52.533,935.0,0.7,0.6380488541548683,,,
,,,,,,
53.533,951.0,6.0,0.6097330766036169,,,
,,,,,,
54.533,967.0,6.2,0.5814172990523653,,,
,,,,,,
55.533,984.0,6.5,0.5502699437459886,,,
56.033,993.0,6.6,0.521954166194737,,,
56.533,1002.0,6.7,0.49930154415373573,,,
,,,,,,
57.533,1019.0,7.0,0.46815418884735904,,,
58.033,1028.0,7.1,0.46815418884735904,,,
58.533,1037.0,7.2,0.47570506286102615,,,
59.033,1047.0,7.4,0.49269452939177705,,,
59.533,1056.0,7.5,0.49835768490202736,,,
60.033,1067.0,7.6,0.5153471514327783,,,
60.533,1080.0,7.7,0.5436629289840299,,,
61.033,1094.0,7.9,0.5748102842904066,,,
61.533,1109.0,8.0,0.6087892173519085,,,
,,,,,,
,,,,,,
63.033,1158.0,8.4,0.6503190244270775,,,
63.533,1176.0,8.6,0.7041190017744554,,,
,,,,,,
,,,,,,
65.033,1229.0,9.0,0.7531996828632914,,,
65.533,1247.0,9.2,0.8041680824555442,,,
,,,,,,
66.533,1283.0,9.5,0.8494733265375467,,,
67.033,1302.0,9.6,0.9061048816400498,,,
,,,,,,
68.033,1337.0,9.9,0.9429153924566768,,,
68.533,1357.0,10.1,0.982557481028429,,,
69.033,1376.0,10.3,1.0108732585796805,,,
69.533,1395.0,10.4,1.0335258806206817,,,
70.033,1414.0,10.6,1.0486276286480158,,,
70.533,1434.0,10.7,1.0599539396685165,,,
,,,,,,
71.533,1473.0,11.1,1.0703363914373087,,,
72.033,1493.0,11.3,1.0816627024578094,,,
72.533,1514.0,11.4,1.0986521689885604,,,
73.033,1532.0,11.6,1.09298901347831,,,
73.533,1552.0,11.8,1.1071469022539357,,,
74.033,1573.0,12.0,1.1128100577641862,,,
74.533,1595.0,12.1,1.129799524294937,,,
75.033,1614.0,12.3,1.129799524294937,,,
75.533,1634.0,12.4,1.1354626798051872,,,
76.033,1655.0,12.6,1.1411258353154377,,,
76.533,1678.0,12.8,1.1609468796013138,,,
77.033,1699.0,13.0,1.166610035111564,,,
77.533,1720.0,13.2,1.166610035111564,,,
78.033,1742.0,13.4,1.1892626571525653,,,
78.533,1764.0,13.6,1.200588968173066,,,
79.033,1786.0,13.8,1.2062521236833164,,,
79.533,1808.0,13.9,1.2062521236833164,,,
80.033,1828.0,14.2,1.2119152791935666,,,
80.533,1852.0,14.4,1.2345679012345678,,,
,,,,,,
81.533,1898.0,14.8,1.2458942122550685,,,
82.033,1922.0,15.0,1.2515573677653187,,,
82.533,1945.0,15.2,1.2628836787858193,,,
83.033,1969.0,15.3,1.2798731453165704,,,
83.533,1993.0,15.5,1.291199456337071,,,
