t,v1,h1,a1,v2,h2,a2
0.033,0.0,-0.0,,,,
0.533,0.0,-0.0,,,,
,,,,,,
1.533,0.0,-0.0,,,,
2.033,0.0,-0.0,,,,
2.533,0.0,-0.0,,,,
3.033,3.0,-0.0,,,,
3.533,4.0,-0.0,,,,
4.033,5.0,-0.0,,,,
,,,,,,
5.033,14.0,0.0,,,,
5.533,20.0,0.0,0.08777891040887982,,,
6.033,26.0,0.0,0.12175784347038168,,,
6.533,32.0,0.0,0.15573677653188353,,,
7.033,39.0,0.0,0.19537886510363572,,,
7.533,46.0,0.0,0.2350209536753879,,,
8.033,53.0,0.0,0.27466304224714017,,,
8.533,60.0,0.0,0.2973156642881414,,,
9.033,67.0,0.0,0.3312945973496433,,,
9.533,74.0,0.0,0.36527353041114513,,,
10.033,81.0,0.0,0.3794314191867709,,,
,,,,,,
,,,,,,
11.533,3.0,0.1,0.19821044285876094,,,
12.033,111.0,0.1,0.7758523049042927,,,
12.533,119.0,0.1,0.7871786159247932,,,
13.033,127.0,0.1,0.7928417714350435,,,
13.533,134.0,0.1,0.7928417714350435,,,
14.033,143.0,0.2,0.8041680824555442,,,
14.533,152.0,0.2,0.8154943934760448,,,
15.033,160.0,0.2,0.821157548986295,,,
15.533,168.0,0.2,0.8268207044965453,,,
16.033,175.0,0.2,0.8268207044965452,,,
16.533,184.0,0.3,1.0250311473553062,,,
17.033,192.0,0.3,0.45871559633027503,,,
17.533,201.0,0.3,0.46437875184052535,,,
18.033,209.0,0.4,0.46437875184052535,,,
18.533,218.0,0.4,0.475705062861026,,,
19.033,226.0,0.4,0.47004190735077567,,,
19.533,235.0,0.5,0.47004190735077567,,,
20.033,244.0,0.5,0.475705062861026,,,
20.533,253.0,0.5,0.4813682183712763,,,
21.033,261.0,0.6,0.48703137388152673,,,
21.533,270.0,0.6,0.48703137388152673,,,
22.033,279.0,0.6,0.49269452939177705,,,
22.533,289.0,0.7,0.49835768490202736,,,
23.033,298.0,0.7,0.5040208404122777,,,
23.533,307.0,0.8,0.5040208404122777,,,
24.033,316.0,0.8,0.509683995922528,,,
24.533,326.0,0.9,0.5153471514327783,,,
25.033,335.0,0.9,0.5153471514327783,,,
25.533,345.0,1.0,0.5210103069430286,,,
26.033,355.0,1.0,0.5323366179635293,,,
26.533,364.0,1.0,0.5323366179635293,,,
27.033,373.0,1.1,0.5323366179635293,,,
27.533,383.0,1.1,0.5323366179635293,,,
28.033,393.0,1.2,0.5379997734737796,,,
28.533,403.0,1.3,0.5436629289840298,,,
29.033,412.0,1.3,0.5436629289840298,,,
29.533,422.0,1.3,0.5436629289840298,,,
30.033,432.0,1.4,0.5493260844942801,,,
30.533,442.0,1.5,0.5493260844942801,,,
31.033,453.0,1.5,0.5549892400045304,,,
31.533,464.0,1.6,0.5663155510250311,,,
32.033,474.0,1.7,0.5719787065352814,,,
32.533,485.0,1.7,0.5776418620455317,,,
,,,,,,
33.533,506.0,1.9,0.5804734398006569,,,
34.033,516.0,1.9,0.5804734398006569,,,
34.533,527.0,2.0,0.5917997508211574,,,
35.033,539.0,2.1,0.6031260618416581,,,
35.533,550.0,2.2,0.6087892173519084,,,
,,,,,,
36.533,572.0,2.3,0.6144523728621587,,,
,,,,,,
37.533,595.0,2.5,0.6172839506172839,,,
38.033,607.0,2.6,0.6229471061275342,,,
38.533,618.0,2.7,0.6286102616377846,,,
39.033,630.0,2.8,0.6342734171480349,,,
39.533,642.0,2.9,0.6427681504134103,,,
,,,,,,
40.533,666.0,3.0,0.6540944614339109,,,
41.033,678.0,3.1,0.6597576169441612,,,
41.533,690.0,3.2,0.6597576169441612,,,
42.033,702.0,3.3,0.6654207724544116,,,
42.533,715.0,3.4,0.6767470834749122,,,
43.033,727.0,3.5,0.6795786612300373,,,
43.533,739.0,3.6,0.6795786612300373,,,
44.033,752.0,3.7,0.6909049722505379,,,
,,,,,,
45.033,777.0,3.9,0.6937365500056631,,,
,,,,,,
46.033,803.0,4.2,0.6993997055159134,,,
46.533,813.0,4.3,0.6880733944954128,,,
,,,,,,
,,,,,,
48.033,836.0,4.6,0.6635330539509948,,,
,,,,,,
,,,,,,
49.533,855.0,0.0,0.6314418393929097,,,
,,,,,,
,,,,,,
51.033,874.0,5.3,0.5993506248348246,,,
,,,,,,
52.033,887.0,5.6,0.5625401140181976,,,
,,,,,,
,,,,,,
,,,,,,
54.033,913.0,6.0,0.5313927587118209,,,
54.533,920.0,6.2,0.5030769811605693,,,
55.033,927.0,6.3,0.4690980480990674,,,
,,,,,,
56.033,940.0,6.6,0.43511911503756556,,,
56.533,948.0,6.7,0.40680333748631403,,,
,,,,,,
,,,,,,
58.033,969.0,7.1,0.3898138709555631,,,
58.533,976.0,7.3,0.38603843394872955,,,
,,,,,,
,,,,,,
,,,,,,
60.533,1006.0,7.8,0.39264544871068824,,,
61.033,1014.0,7.9,0.4020840412277721,,,
,,,,,,
62.033,1029.0,8.2,0.4077471967380224,,,
62.533,1038.0,8.4,0.4219050855136482,,,
63.033,1046.0,8.5,0.4275682410238985,,,
,,,,,,
,,,,,,
64.533,1070.0,9.0,0.43323139653414877,,,
,,,,,,
65.533,1087.0,9.3,0.4445577075546494,,,
,,,,,,
,,,,,,
,,,,,,
67.533,1121.0,9.9,0.44738928530977456,,,
68.033,1130.0,10.0,0.4587155963302752,,,
68.533,1139.0,10.2,0.47004190735077583,,,
69.033,1148.0,10.3,0.4785366406161513,,,
69.533,1157.0,10.5,0.4841997961264016,,,
70.033,1166.0,10.7,0.49269452939177705,,,
70.533,1176.0,10.8,0.49835768490202736,,,
71.033,1185.0,11.0,0.5040208404122777,,,
71.533,1195.0,11.2,0.5153471514327783,,,
72.033,1205.0,11.3,0.5238418846981537,,,
72.533,1214.0,11.5,0.526673462453279,,,
73.033,1224.0,11.7,0.5323366179635293,,,
73.533,1236.0,11.8,0.5493260844942801,,,
74.033,1250.0,12.0,0.5776418620455317,,,
74.533,1265.0,12.1,0.6116207951070336,,,
75.033,1280.0,12.4,0.6455997281685355,,,
75.533,1297.0,12.5,0.6852418167402876,,,
76.033,1313.0,12.7,0.7248839053120398,,,
,,,,,,
77.033,1349.0,13.1,0.7701891493940423,,,
77.533,1368.0,13.2,0.8211575489862951,,,
78.033,1385.0,13.4,0.8664627930682977,,,
78.533,1405.0,13.6,0.9230943481708007,,,
79.033,1423.0,13.8,0.9570732812323026,,,
79.533,1443.0,14.0,0.9910522142938044,,,
80.033,1464.0,14.2,1.0250311473553062,,,
80.533,1482.0,14.4,1.0420206138860573,,,
81.033,1502.0,14.5,1.059010080416808,,,
,,,,,,
,,,,,,
82.533,1561.0,15.1,1.0797749839543926,,,
83.033,1582.0,15.4,1.0967644504851435,,,
83.533,1603.0,15.6,1.1080907615056441,,,
84.033,1624.0,15.8,1.1307433835466454,,,
84.533,1644.0,16.0,1.1307433835466454,,,
85.033,1665.0,16.2,1.1477328500773964,,,
85.533,1686.0,16.4,1.1533960055876467,,,
86.033,1706.0,16.6,1.1477328500773964,,,
,,,,,,
87.033,1749.0,17.1,1.1675538943632724,,,
,,,,,,
88.033,1794.0,17.6,1.1817117831388981,,,
88.533,1816.0,17.8,1.1949258126628155,,,
89.033,1837.0,18.1,1.1949258126628155,,,
89.533,1860.0,18.3,1.2062521236833161,,,
90.033,1883.0,18.5,1.2175784347038168,,,
90.533,1905.0,18.8,1.2289047457243174,,,
91.033,1928.0,19.0,1.240231056744818,,,
91.533,1952.0,19.3,1.257220523275569,,,
92.033,1975.0,19.6,1.27420998980632,,,
92.533,1999.0,19.8,1.288367878581946,,,
93.033,2024.0,20.1,1.3025257673575716,,,
93.533,2047.0,20.3,1.3081889228678218,,,
94.033,2071.0,20.6,1.325178389398573,,,
,,,,,,
95.033,2120.0,21.1,1.3336731226639482,,,
95.533,2142.0,21.4,1.328009967153698,,,
96.033,2167.0,21.7,1.3449994336844489,,,
96.533,2192.0,22.0,1.3563257447049495,,,
97.033,2217.0,22.3,1.3619889002152,,,
97.533,2243.0,22.5,1.3789783667459508,,,
98.033,2267.0,22.8,1.3789783667459508,,,
98.533,2293.0,23.1,1.3846415222562012,,,
99.033,2319.0,23.4,1.401630988786952,,,
99.533,2348.0,23.7,1.4299467663382035,,,
100.033,2373.0,24.0,1.4327783440933288,,,
100.533,2401.0,24.3,1.4667572771548305,,,
101.033,2425.0,24.6,1.4610941216445803,,,
101.533,2449.0,24.8,1.4554309661343299,,,
102.033,2477.0,25.3,1.472420432665081,,,
102.533,2503.0,25.4,1.472420432665081,,,
103.033,2532.0,25.9,1.5007362102163324,,,
103.533,2559.0,26.2,1.5063993657265828,,,
104.033,2586.0,26.5,1.512062521236833,,,
104.533,2614.0,26.8,1.5063993657265826,,,
105.033,2642.0,27.2,1.5233888322573337,,,
105.533,2670.0,27.5,1.5233888322573337,,,
106.033,2698.0,27.8,1.546041454298335,,,
106.533,2726.0,28.2,1.5686940763393362,,,
107.033,2754.0,28.4,1.5686940763393362,,,
107.533,2785.0,28.7,1.5970098538905877,,,
108.033,2814.0,29.1,1.5970098538905877,,,
108.533,2846.0,29.4,1.6253256314418392,,,
109.033,2874.0,29.8,1.6309887869520896,,,
109.533,2905.0,30.1,1.6479782534828404,,,
110.033,2935.0,30.5,1.659304564503341,,,
110.533,2967.0,30.9,1.6819571865443423,,,
111.033,2997.0,31.2,1.693283497564843,,,
111.533,3029.0,31.6,1.7159361196058442,,,
112.033,3058.0,31.9,1.7215992751160947,,,
112.533,3091.0,32.3,1.732925586136595,,,
113.033,3121.0,32.7,1.7385887416468455,,,
113.533,3155.0,33.1,1.7499150526673461,,,
114.033,3188.0,33.4,1.7782308302185976,,,
114.533,3219.0,33.8,1.7782308302185976,,,
115.033,3253.0,34.2,1.800883452259599,,,
,,,,,,
116.033,3319.0,35.0,1.8065466077698493,,,
116.533,3352.0,35.4,1.8235360743006002,,,
117.033,3386.0,35.8,1.8348623853211008,,,
117.533,3419.0,36.2,1.857515007362102,,,
118.033,3454.0,36.6,1.8688413183826027,,,
118.533,3488.0,37.0,1.891493940423604,,,
119.033,3523.0,37.4,1.8971570959338542,,,
119.533,3560.0,37.8,1.9198097179748554,,,
120.033,3595.0,38.2,1.9424623400158567,,,
120.533,3630.0,38.7,1.948125495526107,,,
121.033,3667.0,39.1,1.9707781175671082,,,
121.533,3700.0,39.5,1.9707781175671082,,,
122.033,3736.0,39.9,1.9821044285876088,,,
122.533,3774.0,40.4,2.0104202061388605,,,
123.033,3810.0,40.8,2.0160833616491107,,,
123.533,3847.0,41.2,2.033072828179862,,,
124.033,3884.0,41.7,2.044399139200362,,,
124.533,3922.0,42.1,2.0500622947106124,,,
125.033,3962.0,42.6,2.0783780722618643,,,
125.533,3997.0,43.0,2.0783780722618643,,,
126.033,4039.0,43.4,2.106693849813116,,,
126.533,4074.0,43.9,2.118020160833616,,,
127.033,4118.0,44.4,2.1633254049156188,,,
127.533,4158.0,44.8,2.174651715936119,,,
128.033,4194.0,45.3,2.1746517159361254,,,
128.533,4234.0,45.7,2.191641182466876,,,
129.033,4276.0,46.2,2.2199569600181275,,,
129.533,4316.0,46.7,2.2312832710386283,,,
130.033,4356.0,47.1,2.2312832710386283,,,
130.533,4397.0,47.6,2.26526220410013,,,
131.033,4438.0,48.1,2.25959904858988,,,
131.533,4480.0,48.6,2.299241137161632,,,
132.033,4521.0,49.0,2.282251670630881,,,
132.533,4563.0,49.5,2.2935779816513815,,,
133.033,4606.0,50.0,2.333220070223128,,,
133.533,4650.0,50.5,2.3558726922641293,,,
134.033,4695.0,51.0,2.3728621587948804,,,
134.533,4737.0,51.5,2.384188469815381,,,
135.033,4784.0,52.0,2.423830558387133,,,
135.533,4824.0,52.5,2.418167402876883,,,
136.033,4871.0,53.0,2.4521463359383846,,,
136.533,4916.0,53.5,2.4691358024691357,,,
137.033,4961.0,54.1,2.491788424510137,,,
137.533,5007.0,54.6,2.514441046551138,,,
138.033,5054.0,55.1,2.5370936685921395,,,
138.533,5099.0,55.6,2.5427568241023897,,,
139.033,5141.0,56.1,2.5257673575716386,,,
139.533,5183.0,56.6,2.5257673575716386,,,
140.033,5224.0,57.2,2.491788424510137,,,
140.533,5263.0,57.7,2.4861252689998867,,,
141.033,5303.0,58.2,2.4464831804281344,,,
141.533,5342.0,58.8,2.4125042473666323,,,
142.033,5380.0,59.3,2.3728621587948804,,,
142.533,5422.0,59.9,2.350209536753879,,,
143.033,5458.0,60.4,2.2879148261411255,,,
143.533,5499.0,60.9,2.2652622041001242,,,
144.033,5537.0,61.5,2.2426095820591234,,,
144.533,5580.0,62.0,2.2482727375693736,,,
145.033,5620.0,62.6,2.242609582059123,,,
145.533,5660.0,63.1,2.2482727375693736,,,
146.033,5699.0,63.7,2.242609582059123,,,
146.533,5739.0,64.2,2.2482727375693736,,,
147.033,5780.0,64.8,2.2652622041001242,,,
147.533,5819.0,65.3,2.2482727375693736,,,
148.033,5859.0,65.9,2.2709253596103744,,,
148.533,5900.0,66.4,2.2709253596103744,,,
149.033,5944.0,67.0,2.3049042926718766,,,
149.533,5988.0,67.6,2.310567448182127,,,
150.033,6029.0,68.1,2.316230603692377,,,
150.533,6078.0,68.8,2.36719900328463,,,
151.033,6118.0,69.3,2.3728621587948804,,,
151.533,6166.0,69.9,2.418167402876883,,,
152.033,6205.0,70.4,2.406841091856382,,,
152.533,6254.0,71.1,2.4634726469588855,,,
153.033,6294.0,71.6,2.4634726469588855,,,
153.533,6344.0,72.2,2.514441046551138,,,
154.033,6391.0,72.9,2.5314305130818893,,,
154.533,6437.0,73.5,2.5427568241023897,,,
155.033,6484.0,74.1,2.5767357571638914,,,
155.533,6530.0,74.7,2.5597462906331407,,,
156.033,6577.0,75.3,2.5993883792048926,,,
156.533,6624.0,75.9,2.5937252236946424,,,
157.033,6667.0,76.5,2.6163778457356437,,,
157.533,6717.0,77.1,2.622041001245894,,,
158.033,6763.0,77.7,2.656019934307396,,,
158.533,6814.0,78.3,2.6616830898176462,,,
159.033,6859.0,78.9,2.6503567787971454,,,
159.533,6907.0,79.5,2.6616830898176462,,,
160.033,6954.0,80.1,2.6616830898176462,,,
160.533,7000.0,80.8,2.6616830898176462,,,
161.033,7041.0,81.4,2.6277041567561445,,,
