t,v,h
60.0,,
60.167,,
60.333,,
60.5,,
60.667,,
60.833,1548.0,10.0
61.0,,
61.167,,
61.333,,
61.5,,
61.667,,
61.833,1620.0,1.0
62.0,1656.0,1.0
62.167,,
62.333,,
62.5,,
62.667,,
62.833,,
63.0,1692.0,1.0
63.167,,
63.333,1692.0,1.0
63.5,,
63.667,,
63.833,,
64.0,1728.0,12.0
64.167,1728.0,12.0
64.333,1728.0,12.0
64.5,1728.0,12.0
64.667,1728.0,12.0
64.833,1728.0,12.0
65.0,,
65.167,,
65.333,,
65.5,,
65.667,,
65.833,,
66.0,1836.0,13.0
66.167,1836.0,13.0
66.333,1836.0,13.0
66.5,1836.0,13.0
66.667,1836.0,13.0
66.833,1836.0,13.0
67.0,,
67.167,1872.0,13.0
67.333,1872.0,13.0
67.5,,
67.667,,
67.833,,
68.0,1944.0,13.0
68.167,1944.0,13.0
68.333,1944.0,13.0
68.5,1944.0,13.0
68.667,1944.0,13.0
68.833,1944.0,13.0
69.0,1980.0,14.0
69.167,1980.0,14.0
69.333,1980.0,14.0
69.5,1980.0,14.0
69.667,1980.0,14.0
69.833,1980.0,14.0
70.0,1908.0,14.0
70.167,2052.0,14.0
70.333,2052.0,14.0
70.5,2052.0,14.0
70.667,2052.0,14.0
70.833,2052.0,14.0
71.0,,
71.167,,
71.333,,
71.5,2088.0,15.0
71.667,2088.0,15.0
71.833,2088.0,15.0
72.0,2088.0,15.0
72.167,,
72.333,,
72.5,2160.0,15.0
72.667,2160.0,15.0
72.833,,
73.0,2160.0,15.0
73.167,2196.0,16.0
73.333,2196.0,16.0
73.5,2196.0,16.0
73.667,2196.0,16.0
73.833,2196.0,16.0
74.0,2268.0,16.0
74.167,2268.0,16.0
74.333,2268.0,16.0
74.5,2268.0,16.0
74.667,2268.0,16.0
74.833,2268.0,16.0
75.0,2304.0,17.0
75.167,2304.0,17.0
75.333,2304.0,17.0
75.5,2304.0,17.0
75.667,2304.0,17.0
75.833,2304.0,17.0
76.0,,
76.167,,
76.333,,
76.5,,
76.667,,
76.833,,
77.0,,
77.167,,
77.333,,
77.5,,
77.667,,
77.833,,
78.0,,
78.167,,
78.333,,
78.5,,
78.667,,
78.833,,
79.0,,
79.167,2556.0,19.0
79.333,2556.0,19.0
79.5,2556.0,19.0
79.667,2556.0,19.0
79.833,2556.0,19.0
80.0,2772.0,19.0
80.167,2628.0,19.0
80.333,2628.0,19.0
80.5,2628.0,19.0
80.667,2628.0,19.0
80.833,2628.0,19.0
81.0,2628.0,19.0
81.167,,
81.333,,
81.5,,
81.667,2700.0,20.0
81.833,,
82.0,,
82.167,,
82.333,,
82.5,,
82.667,,
82.833,,
83.0,2844.0,21.0
83.167,2844.0,21.0
83.333,2844.0,21.0
83.5,2844.0,21.0
83.667,2844.0,21.0
