t,v1,h1,a1,v2,h2,a2
,,,,,,
1.0,5.0,0.1,,,,
,,,,,,
,,,,,,
2.5,25.0,0.1,,,,
3.0,5.0,0.1,,,,
,,,,,,
4.0,16.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7.5,47.0,0.1,,,,
,,,,,,
8.5,62.0,0.1,,,,
9.0,70.0,0.1,,,,
9.5,77.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
11.5,110.0,0.2,,,,
12.0,118.0,0.2,,,,
12.5,124.0,0.2,,,,
,,,,,,
,,,,,,
14.0,149.0,0.3,,,,
14.5,158.0,0.3,,,,
15.0,166.0,0.3,,,,
,,,,,,
16.0,184.0,0.4,12.619,,,
16.5,193.0,0.4,12.953,,,
17.0,201.0,0.4,13.002,,,
,,,,,,
18.0,218.0,0.5,14.057,,,
,,,,,,
19.0,236.0,0.6,14.187,,,
19.5,246.0,0.6,14.393,,,
20.0,255.0,0.6,14.448,,,
,,,,,,
21.0,273.0,0.7,14.485,,,
,,,,,,
22.0,292.0,0.8,14.578,,,
22.5,302.0,0.8,14.642,,,
,,,,,,
23.5,320.0,0.9,14.679,,,
,,,,,,
24.5,340.0,1.0,14.827,,,
,,,,,,
25.5,360.0,1.1,14.889,,,
26.0,369.0,1.2,14.889,,,
26.5,379.0,1.2,14.963,,,
27.0,387.0,1.2,14.925,,,
27.5,398.0,1.3,14.999,,,
,,,,,,
28.5,419.0,1.4,15.092,,,
29.0,428.0,1.5,15.11,,,
,,,,,,
,,,,,,
30.5,461.0,1.7,15.184,,,
,,,,,,
,,,,,,
32.0,494.0,1.9,15.22,,,
32.5,504.0,1.9,15.257,,,
33.0,517.0,2.0,15.405,,,
33.5,526.0,2.1,15.386,,,
34.0,538.0,2.2,15.46,,,
,,,,,,
35.0,561.0,2.3,15.552,,,
35.5,572.0,2.4,15.589,,,
36.0,584.0,2.5,15.663,,,
36.5,595.0,2.6,15.737,,,
37.0,607.0,2.7,15.81,,,
37.5,618.0,2.7,15.921,,,
38.0,631.0,2.8,15.995,,,
,,,,,,
39.0,655.0,3.0,16.05,,,
,,,,,,
,,,,,,
40.5,691.0,3.3,16.161,,,
41.0,704.0,3.4,16.235,,,
41.5,718.0,3.5,16.345,,,
42.0,729.0,3.6,16.382,,,
42.5,742.0,3.7,16.382,,,
,,,,,,
43.5,767.0,3.9,16.511,,,
44.0,781.0,4.0,16.585,,,
