t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19.167,18.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24.167,73.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28.333,139.0,0.3,,,,
29.167,152.0,0.3,,,,
30.0,166.0,0.3,,,,
,,,,,,
31.667,195.0,0.4,,,,
,,,,,,
33.333,223.0,0.5,,,,
34.167,239.0,0.6,,,,
35.0,255.0,0.6,,,,
35.833,270.0,0.7,,,,
36.667,286.0,0.8,,,,
37.5,302.0,0.8,,,,
38.333,317.0,0.9,,,,
,,,,,,
40.0,350.0,1.1,,,,
40.833,366.0,1.1,14.357,,,
,,,,,,
42.5,398.0,1.3,14.712,,,
43.333,417.0,1.4,14.93,,,
44.167,433.0,1.5,14.992,,,
45.0,449.0,1.6,15.059,,,
,,,,,,
46.667,487.0,1.8,15.169,,,
47.5,504.0,1.9,15.225,,,
48.333,524.0,2.1,15.358,,,
49.167,543.0,2.2,15.424,,,
50.0,561.0,2.3,15.468,,,
50.833,580.0,2.5,15.556,,,
51.667,599.0,2.6,15.623,,,
52.5,618.0,2.7,15.689,,,
53.333,638.0,2.9,15.8,,,
54.167,659.0,3.0,15.899,,,
55.0,680.0,3.2,16.009,,,
55.833,699.0,3.4,16.076,,,
56.667,721.0,3.5,16.141,,,
57.5,742.0,3.7,16.252,,,
58.333,763.0,3.8,16.363,,,
,,,,,,
60.0,807.0,4.2,16.429,,,
60.833,822.0,4.4,16.384,,,
61.667,834.0,4.6,16.205,,,
62.5,846.0,4.8,16.05,,,
,,,,,,
64.167,867.0,5.2,15.883,,,
65.0,878.0,5.4,15.704,,,
,,,,,,
,,,,,,
,,,,,,
68.333,922.0,6.2,15.526,,,
,,,,,,
,,,,,,
70.833,957.0,6.8,15.362,,,
71.667,969.0,7.1,15.183,,,
72.5,987.0,7.3,15.116,,,
,,,,,,
,,,,,,
75.0,1054.0,8.0,15.144,,,
,,,,,,
,,,,,,
,,,,,,
78.333,1159.0,8.9,15.304,,,
79.167,1187.0,9.3,15.436,,,
80.0,1212.0,9.5,15.523,,,
80.833,1239.0,9.8,15.656,,,
81.667,1266.0,10.0,15.765,,,
82.5,1296.0,10.4,16.097,,,
83.333,1320.0,10.6,16.362,,,
84.167,1349.0,11.0,16.738,,,
85.0,1375.0,11.2,17.081,,,
85.833,1404.0,11.6,17.479,,,
,,,,,,
87.5,1463.0,12.2,17.889,,,
,,,,,,
,,,,,,
90.0,1550.0,13.2,18.273,,,
90.833,1582.0,13.6,18.716,,,
91.667,1615.0,13.9,19.047,,,
92.5,1647.0,14.3,19.261,,,
93.333,1680.0,14.7,19.41,,,
94.167,1712.0,15.1,19.498,,,
95.0,1743.0,15.4,19.629,,,
95.833,1774.0,15.9,19.717,,,
96.667,1808.0,16.1,19.87,,,
97.5,1844.0,16.6,20.002,,,
