t,v,h
0.033,6.0,6.1
0.533,6.0,6.1
1.033,6.0,6.1
1.533,6.0,6.1
2.033,1.0,0.1
2.533,5.0,6.1
3.033,12.0,6.1
3.533,16.0,6.1
4.033,21.0,6.1
4.533,28.0,6.1
5.033,33.0,6.1
5.533,39.0,6.2
6.033,43.0,6.2
6.533,58.0,6.2
7.033,56.0,6.2
7.533,62.0,6.2
8.033,67.0,6.2
8.533,72.0,6.2
9.033,79.0,6.2
9.533,85.0,6.2
10.033,2.0,6.2
10.533,97.0,6.2
11.033,104.0,6.3
11.533,118.0,6.3
12.033,116.0,6.3
12.533,122.0,6.3
13.033,129.0,6.3
13.533,136.0,6.3
14.033,142.0,6.4
14.533,149.0,6.4
15.033,156.0,6.4
15.533,163.0,6.4
16.033,178.0,6.4
16.533,177.0,6.5
17.033,184.0,6.5
17.533,191.0,6.5
18.033,199.0,6.6
18.533,205.0,6.6
19.033,214.0,6.6
19.533,228.0,6.6
20.033,228.0,6.7
20.533,235.0,6.7
21.033,243.0,6.7
21.533,251.0,6.8
22.033,258.0,6.8
22.533,267.0,6.8
23.033,276.0,6.9
23.533,282.0,6.9
24.033,292.0,1.8
24.533,299.0,1.8
25.033,308.0,1.8
25.533,316.0,1.1
26.033,,
26.533,334.0,1.2
27.033,342.0,1.2
27.533,351.0,1.3
28.033,368.0,1.3
28.533,369.0,1.4
29.033,378.0,1.4
29.533,387.0,1.5
30.033,397.0,1.5
30.533,405.0,1.6
31.033,415.0,1.6
31.533,424.0,1.7
32.033,435.0,1.8
32.533,444.0,1.8
33.033,454.0,1.9
33.533,464.0,1.9
34.033,473.0,2.8
34.533,485.0,2.1
35.033,495.0,2.1
35.533,,
36.033,516.0,2.3
36.533,525.0,2.3
37.033,538.0,2.4
37.533,547.0,2.5
38.033,559.0,2.6
38.533,569.0,2.6
39.033,581.0,2.7
39.533,591.0,2.8
40.033,603.0,2.9
40.533,615.0,3.8
41.033,627.0,3.1
41.533,639.0,3.2
42.033,651.0,3.2
42.533,663.0,3.3
43.033,675.0,3.4
43.533,688.0,3.5
44.033,708.0,3.6
44.533,,
45.033,726.0,3.8
45.533,738.0,3.9
46.033,752.0,4.8
46.533,766.0,4.1
47.033,778.0,4.2
