t,v,h,a
,,,
,,,
1.5,1.0,6.1,
,,,
2.5,12.0,6.1,
3.0,16.0,6.1,
3.5,21.0,6.1,
4.0,26.0,6.1,
,,,
,,,
,,,
,,,
,,,
,,,
7.5,61.0,6.2,
8.0,66.0,6.2,
8.5,71.0,6.2,
9.0,76.0,6.2,
9.5,82.0,6.2,
,,,
10.5,2.0,6.2,
,,,
,,,
,,,
12.5,115.0,6.3,
13.0,121.0,6.3,
13.5,127.0,6.3,
,,,
,,,
15.0,145.0,6.4,0.195
15.5,151.0,6.4,0.218
16.0,158.0,6.4,0.224
,,,
,,,
17.5,176.0,6.5,0.231
18.0,182.0,6.5,0.235
,,,
19.0,196.0,6.6,0.243
19.5,202.0,6.6,0.246
20.0,209.0,6.6,0.254
,,,
21.0,223.0,6.7,0.261
21.5,229.0,6.7,0.265
,,,
22.5,244.0,6.8,0.271
23.0,251.0,6.8,0.448
,,,
24.0,267.0,6.9,0.372
24.5,273.0,6.9,0.372
25.0,281.0,1.8,0.379
25.5,288.0,1.8,0.383
26.0,297.0,1.1,0.395
26.5,304.0,1.1,0.395
27.0,312.0,1.1,0.402
,,,
28.0,328.0,1.2,0.41
,,,
29.0,344.0,1.3,0.413
,,,
30.0,361.0,1.4,0.423
30.5,378.0,1.5,0.461
31.0,379.0,1.5,0.438
31.5,386.0,1.6,0.442
32.0,396.0,1.6,0.451
32.5,404.0,1.7,0.455
33.0,414.0,1.8,0.462
33.5,422.0,1.8,0.47
34.0,431.0,1.9,0.474
34.5,439.0,1.9,0.478
,,,
35.5,459.0,2.1,0.481
36.0,467.0,2.1,0.485
36.5,477.0,2.2,0.493
37.0,486.0,2.2,0.496
37.5,496.0,2.3,0.504
38.0,506.0,2.4,0.51
,,,
39.0,526.0,2.5,0.483
39.5,534.0,2.6,0.51
40.0,544.0,2.7,0.521
40.5,555.0,2.7,0.525
41.0,566.0,2.8,0.536
41.5,576.0,2.9,0.536
,,,
42.5,596.0,3.1,0.544
43.0,608.0,3.2,0.555
43.5,618.0,3.2,0.563
44.0,638.0,3.3,0.6
44.5,641.0,3.4,0.581
45.0,653.0,3.5,0.589
45.5,664.0,3.6,0.597
46.0,675.0,3.7,0.6
46.5,686.0,3.8,0.604
47.0,708.0,3.9,0.649
,,,
48.0,724.0,4.1,0.649
48.5,735.0,4.2,0.653
49.0,748.0,4.3,0.661
49.5,759.0,4.4,0.661
50.0,773.0,4.5,0.676
50.5,785.0,4.6,0.683
51.0,799.0,4.7,0.691
,,,
52.0,824.0,4.9,0.7
,,,
53.0,851.0,5.1,0.676
53.5,864.0,5.2,0.714
54.0,878.0,5.3,0.721
54.5,892.0,5.5,0.732
,,,
55.5,921.0,5.7,0.746
56.0,935.0,5.8,0.757
,,,
57.0,966.0,6.1,0.732
,,,
58.0,993.0,6.3,0.753
58.5,1088.0,6.4,1.07
59.0,1023.0,6.6,0.776
59.5,1038.0,6.7,0.791
,,,
,,,
61.0,1084.0,7.1,0.796
61.5,1101.0,7.3,0.815
,,,
,,,
,,,
63.5,1158.0,7.8,0.816
,,,
64.5,1189.0,8.2,0.827
65.0,1205.0,8.3,0.837
65.5,1219.0,8.5,0.84
