t,v,h,a
0.033,,,
0.533,1.0,6.1,
,,,
1.533,8.0,6.1,
2.033,14.0,6.1,
2.533,18.0,6.1,
3.033,24.0,6.1,
3.533,28.0,6.1,
4.033,34.0,6.1,
4.533,36.0,6.2,
5.033,42.0,6.2,0.21236833163438662
5.533,48.0,6.2,0.2463472646958885
6.033,51.0,6.2,0.2633367312266394
6.533,57.0,6.2,0.2774946200022652
7.033,61.0,6.2,0.2661683089817646
7.533,66.0,6.2,0.2718314644920149
8.033,71.0,6.2,0.26616830898176463
8.533,76.0,6.2,0.27183146449201495
9.033,82.0,6.2,0.27183146449201495
,,,
,,,
10.533,97.0,6.3,0.2888209310227659
11.033,103.0,6.3,0.2888209310227659
11.533,109.0,6.3,0.2888209310227659
12.033,114.0,6.3,0.30014724204326654
12.533,119.0,6.3,0.2944840865330162
13.033,125.0,6.3,0.30581039755351686
13.533,131.0,6.4,0.3114735530637671
14.033,137.0,6.4,0.31713670857401743
14.533,143.0,6.4,0.3227998640842677
15.033,149.0,6.4,0.3227998640842677
15.533,155.0,6.4,0.328463019594518
16.033,162.0,6.5,0.3341261751047682
16.533,167.0,6.5,0.3284630195945179
,,,
17.533,188.0,6.5,0.3596103749008946
18.033,187.0,6.6,0.32563144183939274
18.533,193.0,6.6,0.32563144183939274
19.033,199.0,6.6,0.32563144183939274
19.533,205.0,6.6,0.32563144183939274
20.033,213.0,6.7,0.3369577528598934
20.533,218.0,6.7,0.33129459734964306
21.033,226.0,6.7,0.3426209083701437
21.533,233.0,6.8,0.3426209083701438
22.033,248.0,6.8,0.3992524634726469
22.533,247.0,6.8,0.33412617510476833
23.033,254.0,6.9,0.3794314191867708
23.533,261.0,6.9,0.38509457469702113
24.033,269.0,6.9,0.39642088571752176
,,,
25.033,283.0,1.8,0.4020840412277721
25.533,298.0,1.8,0.44172612979952425
26.033,298.0,1.1,0.4134103522482727
26.533,305.0,1.1,0.4077471967380224
,,,
,,,
28.033,338.0,1.3,0.43039981877902367
,,,
29.033,345.0,1.4,0.3652735304111451
,,,
30.033,361.0,1.5,0.4162419300033979
30.533,369.0,1.5,0.4219050855136482
,,,
31.533,386.0,1.6,0.43039981877902367
32.033,396.0,1.7,0.44172612979952425
32.533,404.0,1.7,0.44738928530977456
33.033,414.0,1.8,0.41907350775852303
33.533,421.0,1.8,0.4587155963302752
34.033,432.0,1.9,0.4813682183712764
34.533,439.0,2.8,0.4587155963302752
35.033,449.0,2.8,0.4955261071469022
35.533,458.0,2.1,0.5011892626571525
36.033,467.0,2.1,0.5068524181674028
36.533,477.0,2.2,0.5153471514327783
37.033,487.0,2.3,0.5153471514327783
37.533,496.0,2.3,0.5210103069430286
,,,
38.533,516.0,2.5,0.5210103069430286
39.033,527.0,2.6,0.5436629289840298
39.533,536.0,2.6,0.5323366179635293
40.033,548.0,2.7,0.5606523955147807
40.533,557.0,2.8,0.5549892400045304
41.033,567.0,2.9,0.5606523955147807
41.533,578.0,2.9,0.5719787065352814
42.033,598.0,3.8,0.6286102616377846
42.533,601.0,3.1,0.5889681730660323
43.033,612.0,3.2,0.600294484086533
43.533,623.0,3.3,0.6059576395967833
44.033,634.0,3.4,0.6059576395967833
