t,v1,h1,a1,v2,h2,a2
0.033,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.533,1.0,0.0,,,,
3.033,4.0,0.0,,,,
,,,,,,
4.033,14.0,0.0,,,,
,,,,,,
,,,,,,
5.533,21.0,0.0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8.033,5.0,0.0,,,,
8.533,57.0,0.0,,,,
9.033,64.0,0.0,,,,
,,,,,,
10.033,73.0,0.0,,,,
10.533,86.0,0.1,0.4736285725072677,,,
11.033,93.0,0.1,0.5132706610790199,,,
11.533,100.0,0.1,0.552912749650772,,,
12.033,107.0,0.1,0.5755653716917732,,,
12.533,115.0,0.1,0.5925548382225242,,,
13.033,123.0,0.1,0.6246460527806094,,,
13.533,130.0,0.2,0.6824102389851625,,,
14.033,138.0,0.2,0.43323139653414877,,,
14.533,145.0,0.2,0.43323139653414877,,,
,,,,,,
15.533,161.0,0.2,0.4530524408200249,,,
16.033,169.0,0.3,0.4247366632687732,,,
16.533,177.0,0.3,0.43039981877902345,,,
17.033,185.0,0.3,0.43606297428927376,,,
17.533,193.0,0.3,0.4417261297995241,,,
18.033,201.0,0.4,0.4417261297995241,,,
18.533,209.0,0.4,0.4417261297995241,,,
19.033,218.0,0.4,0.4530524408200247,,,
19.533,226.0,0.5,0.4530524408200247,,,
20.033,234.0,0.5,0.45871559633027503,,,
20.533,243.0,0.5,0.46437875184052535,,,
21.033,251.0,0.6,0.4643787518405255,,,
21.533,259.0,0.6,0.4643787518405255,,,
22.033,267.0,0.6,0.4643787518405255,,,
22.533,276.0,0.7,0.47004190735077583,,,
23.033,285.0,0.7,0.47570506286102615,,,
23.533,295.0,0.8,0.48703137388152673,,,
24.033,303.0,0.8,0.4813682183712764,,,
24.533,312.0,0.8,0.48703137388152673,,,
25.033,321.0,0.9,0.49269452939177705,,,
,,,,,,
26.033,339.0,1.0,0.49269452939177705,,,
,,,,,,
27.033,358.0,1.1,0.5011892626571526,,,
27.533,368.0,1.1,0.5125155736776531,,,
28.033,378.0,1.2,0.5238418846981537,,,
28.533,387.0,1.2,0.5238418846981537,,,
29.033,397.0,1.3,0.529505040208404,,,
29.533,406.0,1.3,0.5238418846981537,,,
30.033,416.0,1.4,0.5351681957186544,,,
30.533,426.0,1.5,0.5408313512289047,,,
31.033,436.0,1.5,0.546494506739155,,,
31.533,446.0,1.6,0.5521576622494053,,,
32.033,455.0,1.7,0.5493260844942801,,,
32.533,466.0,1.7,0.5549892400045304,,,
33.033,476.0,1.8,0.5549892400045304,,,
33.533,487.0,1.8,0.5663155510250311,,,
34.033,498.0,1.9,0.5719787065352814,,,
34.533,508.0,2.0,0.5776418620455317,,,
35.033,519.0,2.1,0.583305017555782,,,
35.533,530.0,2.1,0.5889681730660323,,,
36.033,542.0,2.2,0.600294484086533,,,
,,,,,,
37.033,563.0,2.4,0.6031260618416581,,,
37.533,574.0,2.4,0.6144523728621587,,,
38.033,586.0,2.5,0.620115528372409,,,
38.533,596.0,2.6,0.620115528372409,,,
39.033,609.0,2.7,0.6314418393929097,,,
39.533,621.0,2.8,0.63710499490316,,,
40.033,632.0,2.9,0.6427681504134103,,,
40.533,644.0,3.0,0.6484313059236606,,,
,,,,,,
41.533,666.0,3.1,0.6484313059236606,,,
42.033,679.0,3.2,0.6540944614339109,,,
42.533,690.0,3.3,0.6569260391890361,,,
43.033,704.0,3.4,0.673915505719787,,,
43.533,715.0,3.5,0.6682523502095367,,,
44.033,728.0,3.6,0.6852418167402876,,,
44.533,741.0,3.7,0.6852418167402876,,,
,,,,,,
45.533,766.0,3.9,0.6880733944954128,,,
46.033,779.0,4.0,0.6993997055159135,,,
46.533,792.0,4.1,0.7050628610261638,,,
,,,,,,
,,,,,,
48.033,832.0,4.0,0.7182768905500811,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51.533,929.0,5.2,0.7231310238445814,,,
52.033,943.0,5.3,0.7401204903753323,,,
,,,,,,
53.033,968.0,5.6,0.7316257571099568,,,
53.533,980.0,0.7,0.7372889126202071,,,
54.033,992.0,3.8,0.7316257571099568,,,
54.533,1003.0,6.0,0.7202994460894562,,,
55.033,1015.0,6.1,0.7174678683343311,,,
55.533,1025.0,6.2,0.7004784018035801,,,
56.033,1035.0,6.4,0.6834889352728292,,,
56.533,1045.0,6.5,0.6646117502386615,,,
57.033,1053.0,6.6,0.6314418393929097,,,
,,,,,,
,,,,,,
58.533,1080.0,7.0,0.6031260618416581,,,
59.033,1090.0,7.2,0.5889681730660323,,,
59.533,1100.0,7.3,0.5776418620455317,,,
,,,,,,
60.533,1126.0,7.6,0.583305017555782,,,
61.033,1141.0,7.8,0.6059576395967833,,,
61.533,1155.0,7.9,0.6172839506172839,,,
,,,,,,
62.533,1187.0,8.2,0.6512628836787857,,,
63.033,1203.0,8.4,0.6852418167402876,,,
63.533,1218.0,8.5,0.7135575942915392,,,
,,,,,,
,,,,,,
65.033,1268.0,9.0,0.7626382753803752,,,
,,,,,,
66.033,1303.0,9.3,0.8107750972175028,,,
,,,,,,
67.033,1337.0,9.6,0.8504171857892551,,,
,,,,,,
68.033,1371.0,9.9,0.8900592743610072,,,
68.533,1389.0,10.1,0.9183750519122588,,,
69.033,1406.0,10.3,0.9297013629327594,,,
69.533,1425.0,10.4,0.958017140484011,,,
,,,,,,
70.533,1461.0,10.8,0.9693434515045116,,,
,,,,,,
71.533,1496.0,11.1,0.977838184769887,,,
72.033,1516.0,11.3,1.0061539623211386,,,
72.533,1536.0,11.5,1.0250311473553062,,,
73.033,1556.0,11.7,1.0391890361309322,,,
73.533,1574.0,11.8,1.0448521916411824,,,
74.033,1595.0,12.0,1.0675048136821836,,,
74.533,1613.0,12.2,1.0675048136821836,,,
75.033,1632.0,12.4,1.0788311247026843,,,
75.533,1652.0,12.6,1.0844942802129345,,,
76.033,1672.0,12.7,1.0958205912334351,,,
,,,,,,
77.033,1711.0,13.1,1.1071469022539357,,,
77.533,1733.0,13.3,1.1184732132744364,,,
78.033,1753.0,13.5,1.1184732132744364,,,
78.533,1774.0,13.7,1.1241363687846868,,,
79.033,1795.0,13.9,1.1411258353154377,,,
,,,,,,
,,,,,,
80.533,1860.0,14.5,1.1449012723222711,,,
81.033,1883.0,14.7,1.1732170498735228,,,
,,,,,,
82.033,1927.0,15.1,1.1902065164042737,,,
82.533,1950.0,15.3,1.2071959829350247,,,
83.033,1975.0,15.5,1.2355117604862762,,,
83.533,1998.0,15.8,1.2553328047721524,,,
84.033,2023.0,16.0,1.2723222713029032,,,
84.533,2044.0,16.2,1.2779854268131536,,,
