t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8.25,0.0,-0.0,,,,
9.0,5.0,-0.0,,,,
9.75,16.0,0.0,,,,
10.5,34.0,0.0,,,,
11.25,56.0,0.0,,,,
12.0,76.0,0.0,,,,
,,,,,,
13.5,121.0,0.1,,,,
,,,,,,
15.0,167.0,0.2,,,,
,,,,,,
,,,,,,
17.25,241.0,0.5,,,,
,,,,,,
18.75,294.0,0.7,16.212,,,
,,,,,,
,,,,,,
,,,,,,
21.75,407.0,1.3,17.258,,,
,,,,,,
,,,,,,
24.0,500.0,1.9,18.22,,,
24.75,532.0,2.1,18.997,,,
25.5,565.0,2.3,19.552,,,
26.25,601.0,2.5,20.07,,,
,,,,,,
27.75,672.0,3.0,20.643,,,
,,,,,,
29.25,747.0,3.6,21.197,,,
30.0,784.0,3.9,21.715,,,
30.75,824.0,4.2,22.281,,,
,,,,,,
,,,,,,
33.0,946.0,5.3,22.805,,,
33.75,971.0,5.7,22.683,,,
,,,,,,
35.25,1018.0,6.5,22.404,,,
,,,,,,
36.75,1068.0,7.2,22.143,,,
,,,,,,
38.25,1151.0,8.1,22.456,,,
39.0,1200.0,8.5,22.936,,,
39.75,1252.0,9.0,23.545,,,
40.5,1302.0,9.4,24.006,,,
,,,,,,
42.0,1409.0,10.4,24.615,,,
42.75,1465.0,11.0,25.206,,,
43.5,1520.0,11.5,25.735,,,
44.25,1577.0,12.0,26.918,,,
45.0,1637.0,12.5,28.268,,,
45.75,1696.0,13.1,29.525,,,
46.5,1759.0,13.7,30.32,,,
47.25,1822.0,14.1,30.837,,,
,,,,,,
48.75,1952.0,15.4,31.316,,,
49.5,2020.0,16.0,31.981,,,
50.25,2091.0,16.6,32.627,,,
51.0,2162.0,17.3,33.181,,,
51.75,2237.0,18.0,33.92,,,
52.5,2314.0,18.6,34.658,,,
53.25,2392.0,19.3,35.323,,,
54.0,2477.0,20.0,36.284,,,
54.75,2561.0,20.8,37.059,,,
55.5,2648.0,21.5,37.946,,,
56.25,2735.0,22.3,38.759,,,
57.0,2824.0,23.0,39.534,,,
57.75,2917.0,23.8,40.347,,,
58.5,3007.0,24.4,41.048,,,
59.25,3103.0,25.3,41.823,,,
60.0,3201.0,26.1,42.599,,,
,,,,,,
61.5,3400.0,27.8,43.392,,,
62.25,3504.0,28.6,44.093,,,
63.0,3611.0,29.6,44.943,,,
63.75,3718.0,30.4,45.681,,,
64.5,3832.0,31.4,46.678,,,
65.25,3949.0,32.3,47.712,,,
66.0,4062.0,33.2,48.45,,,
66.75,4180.0,34.3,49.485,,,
67.5,4305.0,35.2,50.556,,,
68.25,4428.0,36.1,51.478,,,
69.0,4554.0,37.1,52.456,,,
69.75,4681.0,38.2,53.305,,,
70.5,4811.0,39.3,54.154,,,
71.25,4940.0,40.4,54.966,,,
72.0,5077.0,41.5,55.815,,,
72.75,5212.0,42.7,56.478,,,
73.5,5353.0,43.9,57.512,,,
74.25,5493.0,45.0,58.321,,,
75.0,5638.0,46.3,59.058,,,
75.75,5784.0,47.5,59.907,,,
