t,v1,h1,a1,v2,h2,a2
0.033,0.0,-0.0,,,,
,,,,,,
1.033,0.0,-0.0,,,,
1.533,0.0,-0.0,,,,
,,,,,,
,,,,,,
3.033,5.0,-0.0,,,,
3.533,5.0,-0.0,,,,
4.033,5.0,-0.0,,,,
,,,,,,
5.033,13.0,-0.0,,,,
5.533,19.0,-0.0,,,,
6.033,27.0,-0.0,,,,
6.533,33.0,0.0,0.14535432476309132,,,
7.033,41.0,0.0,0.1906595688450938,,,
,,,,,,
,,,,,,
8.533,59.0,0.0,0.22463850190659568,,,
9.033,67.0,0.0,0.26994374598859816,,,
9.533,74.0,0.0,0.3001472420432665,,,
10.033,82.0,0.0,0.34545248612526896,,,
10.533,89.0,0.0,0.3850945746970212,,,
,,,,,,
11.533,105.0,0.1,0.4077471967380224,,,
12.033,112.0,0.1,0.4134103522482727,,,
12.533,120.0,0.1,0.4134103522482727,,,
13.033,128.0,0.1,0.42473666326877335,,,
13.533,136.0,0.1,0.42473666326877335,,,
14.033,144.0,0.1,0.43606297428927393,,,
14.533,153.0,0.2,0.44172612979952425,,,
15.033,161.0,0.2,0.44738928530977456,,,
15.533,169.0,0.2,0.44738928530977456,,,
16.033,177.0,0.2,0.4530524408200247,,,
16.533,185.0,0.3,0.4530524408200247,,,
17.033,194.0,0.3,0.46437875184052535,,,
17.533,202.0,0.3,0.46437875184052535,,,
,,,,,,
18.533,219.0,0.4,0.4672103295956505,,,
19.033,228.0,0.4,0.4728734851059008,,,
19.533,237.0,4.0,0.47853664061615114,,,
20.033,245.0,0.5,0.4728734851059008,,,
20.533,254.0,0.5,0.47853664061615114,,,
21.033,263.0,5.0,0.48419979612640146,,,
21.533,272.0,0.6,0.4898629516366519,,,
22.033,281.0,0.6,0.4955261071469022,,,
22.533,291.0,0.7,0.5011892626571526,,,
23.033,301.0,0.7,0.5125155736776531,,,
,,,,,,
,,,,,,
24.533,328.0,0.8,0.5153471514327783,,,
,,,,,,
,,,,,,
26.033,356.0,1.0,0.517234869936195,,,
26.533,366.0,1.0,0.5228980254464454,,,
,,,,,,
,,,,,,
28.033,395.0,1.2,0.5323366179635293,,,
28.533,408.0,1.3,0.5549892400045304,,,
29.033,419.0,1.3,0.5663155510250311,,,
29.533,429.0,1.4,0.5719787065352814,,,
30.033,439.0,1.4,0.5776418620455317,,,
,,,,,,
,,,,,,
31.533,470.0,1.6,0.5795295805489484,,,
32.033,480.0,1.7,0.5795295805489484,,,
,,,,,,
,,,,,,
,,,,,,
34.033,522.0,2.0,0.588024313814324,,,
34.533,534.0,2.1,0.6031260618416581,,,
35.033,544.0,2.1,0.6031260618416581,,,
35.533,556.0,2.2,0.6163400913655754,,,
36.033,567.0,2.3,0.6050137803450749,,,
36.533,577.0,2.4,0.5993506248348246,,,
37.033,588.0,2.4,0.6050137803450749,,,
37.533,599.0,2.5,0.6106769358553252,,,
,,,,,,
38.533,623.0,2.7,0.620115528372409,,,
39.033,635.0,2.8,0.6314418393929097,,,
,,,,,,
40.033,659.0,3.0,0.6399365726582851,,,
40.533,670.0,3.1,0.6342734171480349,,,
41.033,682.0,3.1,0.6455997281685355,,,
41.533,694.0,3.3,0.6455997281685355,,,
,,,,,,
42.533,719.0,3.5,0.6540944614339109,,,
,,,,,,
43.533,743.0,3.7,0.6654207724544116,,,
,,,,,,
44.533,770.0,3.9,0.6795786612300373,,,
45.033,781.0,4.0,0.6795786612300373,,,
45.533,794.0,4.1,0.6852418167402876,,,
,,,,,,
46.533,811.0,4.3,0.6654207724544116,,,
,,,,,,
,,,,,,
48.033,833.0,4.7,0.6389927134065767,,,
48.533,839.0,4.7,0.6106769358553252,,,
,,,,,,
,,,,,,
,,,,,,
50.533,865.0,5.2,0.5795295805489485,,,
51.033,871.0,5.4,0.5455506474874466,,,
51.533,877.0,5.5,0.5087401366708196,,,
52.033,883.0,5.6,0.47476120360931773,,,
,,,,,,
53.033,897.0,5.8,0.4379506927926907,,,
,,,,,,
54.033,911.0,6.1,0.41529807075168945,,,
54.533,919.0,6.2,0.3869822932004379,,,
55.033,930.0,6.3,0.4011401819760637,,,
55.533,943.0,6.5,0.43323139653414877,,,
56.033,955.0,6.6,0.4672103295956507,,,
56.533,968.0,6.7,0.5040208404122777,,,
,,,,,,
57.533,996.0,7.0,0.5493260844942802,,,
58.033,1011.0,7.1,0.600294484086533,,,
58.533,1024.0,7.3,0.6399365726582852,,,
59.033,1040.0,7.4,0.6909049722505379,,,
59.533,1056.0,7.5,0.7418733718427908,,,
60.033,1071.0,7.7,0.7815154604145429,,,
60.533,1088.0,7.9,0.8154943934760448,,,
61.033,1103.0,8.0,0.8268207044965454,,,
61.533,1120.0,8.1,0.855136482047797,,,
62.033,1135.0,8.3,0.8664627930682977,,,
62.533,1151.0,8.5,0.8777891040887983,,,
63.033,1166.0,8.6,0.8777891040887983,,,
63.533,1182.0,8.8,0.8947785706195491,,,
,,,,,,
64.533,1215.0,9.1,0.8976101483746743,,,
65.033,1231.0,9.2,0.8976101483746743,,,
65.533,1247.0,9.4,0.9032733038849247,,,
66.033,1263.0,9.5,0.8976101483746743,,,
66.533,1280.0,9.8,0.908936459395175,,,
67.033,1296.0,9.9,0.9032733038849247,,,
67.533,1312.0,10.1,0.908936459395175,,,
68.033,1328.0,10.2,0.908936459395175,,,
68.533,1346.0,10.4,0.9259259259259258,,,
69.033,1362.0,10.6,0.9259259259259258,,,
69.533,1379.0,10.8,0.928757503681051,,,
70.033,1396.0,11.0,0.9344206591913014,,,
70.533,1414.0,11.2,0.945746970211802,,,
71.033,1432.0,11.3,0.9570732812323026,,,
71.533,1449.0,11.5,0.9570732812323026,,,
72.033,1466.0,11.7,0.9627364367425529,,,
72.533,1485.0,11.9,0.9797259032733039,,,
73.033,1504.0,12.1,0.9967153698040547,,,
73.533,1522.0,12.3,0.9967153698040547,,,
74.033,1539.0,12.5,1.0023785253143052,,,
74.533,1558.0,12.7,1.0137048363348058,,,
75.033,1577.0,12.9,1.0250311473553064,,,
75.533,1595.0,13.1,1.0250311473553064,,,
76.033,1614.0,13.3,1.0306943028655566,,,
76.533,1632.0,13.5,1.036357458375807,,,
77.033,1651.0,13.8,1.0476837693963077,,,
77.533,1670.0,13.9,1.0476837693963077,,,
78.033,1690.0,14.2,1.053346924906558,,,
78.533,1708.0,14.4,1.053346924906558,,,
79.033,1728.0,14.6,1.0703363914373087,,,
79.533,1748.0,14.8,1.0759995469475592,,,
80.033,1768.0,15.1,1.0816627024578094,,,
80.533,1789.0,15.3,1.0986521689885604,,,
81.033,1810.0,15.5,1.1099784800090609,,,
81.533,1830.0,15.7,1.1213047910295615,,,
82.033,1851.0,16.0,1.1326311020500621,,,
82.533,1872.0,16.2,1.1439574130705628,,,
83.033,1893.0,16.5,1.1496205685808132,,,
83.533,1913.0,16.7,1.1609468796013136,,,
84.033,1934.0,17.0,1.166610035111564,,,
84.533,1956.0,17.1,1.1779363461320647,,,
85.033,1978.0,17.4,1.1892626571525653,,,
85.533,2000.0,17.6,1.1949258126628157,,,
86.033,2021.0,17.9,1.1949258126628157,,,
86.533,2045.0,18.1,1.2175784347038168,,,
87.033,2067.0,18.5,1.2232415902140672,,,
87.533,2090.0,18.7,1.2345679012345678,,,
88.033,2111.0,18.8,1.2345679012345678,,,
88.533,2135.0,19.2,1.257220523275569,,,
89.033,2158.0,19.4,1.2685468342960697,,,
89.533,2186.0,19.8,1.3025257673575716,,,
90.033,2209.0,20.0,1.3081889228678218,,,
90.533,2234.0,20.3,1.3251783893985727,,,
91.033,2258.0,20.5,1.3421678559293237,,,
91.533,2283.0,20.8,1.347831011439574,,,
92.033,2307.0,21.1,1.3591573224600746,,,
92.533,2330.0,21.3,1.3591573224600746,,,
93.033,2355.0,21.6,1.3818099445010759,,,
93.533,2380.0,21.9,1.3874731000113263,,,
94.033,2405.0,22.2,1.398799411031827,,,
94.533,2433.0,22.6,1.398799411031827,,,
95.033,2459.0,22.7,1.4157888775625778,,,
95.533,2483.0,23.1,1.4101257220523276,,,
96.033,2509.0,23.4,1.421452033072828,,,
96.533,2535.0,23.7,1.4271151885830784,,,
97.033,2562.0,24.0,1.4441046551138292,,,
97.533,2586.0,24.2,1.4497678106240797,,,
98.033,2614.0,24.6,1.4667572771548305,,,
98.533,2641.0,24.9,1.4780835881753311,,,
99.033,2669.0,25.2,1.495073054706082,,,
99.533,2699.0,25.5,1.5063993657265828,,,
100.033,2730.0,25.7,1.5347151432778343,,,
100.533,2758.0,26.1,1.5573677653188356,,,
101.033,2788.0,26.4,1.5800203873598369,,,
