t,v1,h1,a1,v2,h2,a2
0.033,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3.033,5.0,-0.0,,,,
3.533,7.0,-0.0,,,,
4.033,7.0,-0.0,,,,
,,,,,,
5.033,14.0,-0.0,,,,
5.533,20.0,-0.0,,,,
6.033,26.0,-0.0,,,,
,,,,,,
7.033,40.0,0.0,,,,
,,,,,,
8.033,54.0,0.0,,,,
8.533,61.0,0.0,0.218031487144637,,,
,,,,,,
,,,,,,
,,,,,,
10.533,2.0,0.0,0.13449994336844492,,,
,,,,,,
11.533,107.0,0.1,0.4318156076565863,,,
12.033,116.0,0.1,0.47145769622833844,,,
12.533,123.0,0.1,0.5110997848000907,,,
13.033,133.0,0.1,0.5479102956167177,,,
13.533,140.0,0.1,0.553573451126968,,,
14.033,148.0,0.1,0.5648997621474685,,,
14.533,156.0,0.2,0.5705629176577188,,,
15.033,165.0,0.2,0.5818892286782195,,,
15.533,173.0,0.2,0.5875523841884698,,,
16.033,182.0,0.2,0.7220523275569145,,,
16.533,190.0,0.3,0.4700419073507756,,,
17.033,198.0,0.3,0.46437875184052535,,,
17.533,206.0,0.3,0.4700419073507756,,,
18.033,215.0,0.4,0.46437875184052535,,,
18.533,224.0,0.4,0.47570506286102593,,,
19.033,233.0,0.4,0.48136821837127625,,,
19.533,242.0,0.5,0.48703137388152656,,,
20.033,252.0,0.5,0.4926945293917769,,,
,,,,,,
21.033,269.0,0.6,0.49552610714690204,,,
21.533,278.0,0.6,0.4955261071469022,,,
22.033,288.0,0.6,0.5068524181674028,,,
22.533,297.0,0.7,0.5125155736776531,,,
23.033,307.0,0.7,0.5238418846981537,,,
23.533,316.0,0.8,0.5238418846981537,,,
24.033,325.0,0.8,0.5238418846981537,,,
24.533,335.0,0.9,0.529505040208404,,,
25.033,345.0,0.9,0.5351681957186544,,,
25.533,354.0,1.0,0.529505040208404,,,
26.033,365.0,1.0,0.5436629289840298,,,
26.533,374.0,1.1,0.5436629289840298,,,
27.033,383.0,1.1,0.5379997734737796,,,
27.533,394.0,1.2,0.5493260844942802,,,
28.033,404.0,1.2,0.5493260844942802,,,
28.533,414.0,1.3,0.5549892400045304,,,
29.033,424.0,1.3,0.5606523955147807,,,
29.533,435.0,1.4,0.5663155510250311,,,
,,,,,,
,,,,,,
31.033,466.0,1.6,0.5682032695284479,,,
31.533,478.0,1.7,0.5851927360591987,,,
,,,,,,
32.533,500.0,1.8,0.5851927360591987,,,
33.033,510.0,1.9,0.5908558915694491,,,
33.533,521.0,1.9,0.6021822025899497,,,
34.033,531.0,2.0,0.5965190470796994,,,
34.533,544.0,2.1,0.6135085136104503,,,
35.033,554.0,2.2,0.6135085136104503,,,
35.533,566.0,2.2,0.624834824630951,,,
36.033,577.0,2.3,0.624834824630951,,,
36.533,589.0,2.4,0.6342734171480349,,,
37.033,602.0,2.5,0.6399365726582852,,,
,,,,,,
38.033,625.0,2.7,0.6427681504134103,,,
38.533,638.0,2.7,0.6597576169441612,,,
39.033,650.0,2.8,0.6654207724544116,,,
,,,,,,
40.033,674.0,3.0,0.6767470834749122,,,
,,,,,,
,,,,,,
41.533,713.0,3.3,0.6767470834749122,,,
42.033,726.0,3.4,0.6937365500056631,,,
42.533,738.0,3.5,0.6937365500056631,,,
,,,,,,
43.533,765.0,3.7,0.7078944387812889,,,
44.033,778.0,3.8,0.7135575942915392,,,
44.533,791.0,3.9,0.7135575942915392,,,
45.033,806.0,4.0,0.7333786385774153,,,
45.533,819.0,4.1,0.7333786385774153,,,
46.033,828.0,4.2,0.7163891720466644,,,
46.533,835.0,4.4,0.6880733944954128,,,
,,,,,,
,,,,,,
48.033,858.0,4.7,0.6578698984407445,,,
,,,,,,
,,,,,,
49.533,878.0,5.0,0.6220032468758259,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52.033,913.0,5.6,0.5936874693245743,,,
52.533,921.0,5.7,0.5625401140181976,,,
,,,,,,
53.533,936.0,6.0,0.5313927587118209,,,
54.033,944.0,6.1,0.5030769811605693,,,
,,,,,,
,,,,,,
55.533,967.0,6.4,0.46154717408540036,,,
,,,,,,
56.533,983.0,6.7,0.43323139653414877,,,
,,,,,,
,,,,,,
58.033,1010.0,7.1,0.43323139653414877,,,
58.533,1018.0,7.2,0.4388945520443991,,,
59.033,1029.0,7.4,0.45777173707856683,,,
59.533,1040.0,7.5,0.48231207762298484,,,
60.033,1053.0,7.6,0.5162910106844867,,,
60.533,1069.0,7.7,0.5615962547664892,,,
61.033,1084.0,7.9,0.6040699210933665,,,
61.533,1099.0,8.0,0.6437120096651187,,,
62.033,1117.0,8.28,0.7022312832710386,,,
62.533,1133.0,8.3,0.7475365273530411,,,
63.033,1151.0,8.4,0.7985049269452938,,,
63.533,1168.0,8.6,0.8494733265375467,,,
64.033,1185.0,8.7,0.8834522595990486,,,
,,,,,,
65.033,1221.0,9.0,0.9230943481708007,,,
65.533,1239.0,9.2,0.9514101257220523,,,
66.033,1257.0,9.3,0.9627364367425529,,,
66.533,1274.0,9.5,0.9740627477630536,,,
67.033,1293.0,9.6,0.9967153698040547,,,
67.533,1311.0,9.8,0.9967153698040547,,,
,,,,,,
68.533,1348.0,10.1,1.0108732585796805,,,
69.033,1366.0,10.3,1.0108732585796805,,,
69.533,1385.0,10.4,1.022199569600181,,,
70.033,1405.0,10.6,1.0391890361309322,,,
70.533,1423.0,10.8,1.0391890361309322,,,
71.033,1443.0,10.9,1.0505153471514328,,,
71.533,1462.0,11.1,1.056178502661683,,,
72.033,1482.0,11.3,1.0731679691924338,,,
72.533,1502.0,11.4,1.0788311247026843,,,
73.033,1521.0,11.6,1.0844942802129345,,,
73.533,1541.0,11.8,1.09298901347831,,,
74.033,1560.0,12.0,1.0986521689885604,,,
74.533,1581.0,12.1,1.1099784800090609,,,
75.033,1599.0,12.3,1.0986521689885604,,,
75.533,1621.0,12.5,1.1213047910295615,,,
76.033,1640.0,12.7,1.1156416355193113,,,
76.533,1662.0,12.9,1.1326311020500621,,,
77.033,1681.0,13.0,1.126967946539812,,,
,,,,,,
78.033,1723.0,13.4,1.1326311020500621,,,
78.533,1746.0,13.6,1.1552837240910634,,,
79.033,1767.0,13.8,1.1609468796013138,,,
79.533,1790.0,14.0,1.183599501642315,,,
80.033,1810.0,14.2,1.1779363461320647,,,
80.533,1834.0,14.4,1.2119152791935666,,,
,,,,,,
,,,,,,
82.033,1903.0,15.0,1.217578434703817,,,
82.533,1927.0,15.2,1.2458942122550685,,,
83.033,1950.0,15.4,1.2515573677653187,,,
83.533,1972.0,15.6,1.2685468342960697,,,
