t,v,h,a
0.033,,,
3.033,4.0,7.0,
60.533,1512.0,10.0,
61.033,1548.0,10.0,
61.533,1548.0,10.0,
63.533,1656.0,1.0,
65.033,1728.0,12.0,
65.533,1728.0,12.0,
66.033,1764.0,12.0,
66.533,1764.0,12.0,
67.033,1836.0,13.0,
67.533,1836.0,13.0,
68.033,1872.0,13.0,
68.533,1872.0,13.0,
69.033,1944.0,13.0,
69.533,1944.0,13.0,
70.033,1980.0,14.0,
70.533,1980.0,14.0,
71.033,2052.0,14.0,
71.533,2052.0,14.0,
75.033,2268.0,16.0,
75.533,2268.0,16.0,
76.533,2304.0,17.0,
77.533,2376.0,17.0,
80.033,2556.0,19.0,1.2345003654669922
80.533,2556.0,19.0,1.2345003654669922
81.033,2628.0,19.0,1.3975992441622012
81.533,2628.0,19.0,1.3678947623901752
84.533,2844.0,21.0,1.3678947623901752
85.033,2916.0,21.0,1.5309936410853842
85.533,2916.0,21.0,1.4698315615746806
86.533,3024.0,22.0,1.5377894276976845
87.033,3096.0,23.0,1.7008883063928935
87.533,3096.0,23.0,1.6193388670452888
88.033,3168.0,23.0,1.7824377457404978
88.533,3168.0,23.0,1.6193388670452888
89.033,3240.0,24.0,1.7824377457404978
89.533,3240.0,24.0,1.7008883063928935
90.533,3348.0,24.0,1.8232124654143
93.033,3600.0,26.0,1.7742828018057375
93.533,3600.0,26.0,1.7742828018057375
94.533,3708.0,27.0,1.8150575214795397
95.033,3780.0,28.0,1.9781564001747487
95.533,3780.0,28.0,1.8150575214795397
96.533,3888.0,28.0,1.9373816805009463
97.533,3996.0,29.0,1.9898063200815492
100.033,4284.0,31.0,2.1202854230377164
100.533,4284.0,31.0,2.079510703363914
102.033,4500.0,33.0,2.1610601427115186
102.533,4500.0,33.0,2.079510703363914
103.533,4644.0,33.0,2.242609582059123
104.533,4752.0,34.0,2.201834862385321
108.033,5220.0,38.0,2.3532838211737293
108.533,5220.0,38.0,2.271734381826125
109.533,5328.0,38.0,2.2309596621523227
110.533,5472.0,39.0,2.3940585408475314
112.033,5724.0,41.0,2.4620164069705353
112.533,5724.0,41.0,2.298917528275326
113.533,5868.0,42.0,2.4620164069705353
114.533,6012.0,43.0,2.4620164069705353
115.533,6120.0,44.0,2.584340565991942
117.033,6372.0,46.0,2.6115237124411435
117.533,6372.0,46.0,2.6115237124411435
118.533,6480.0,47.0,2.6115237124411435
121.033,6768.0,50.0,2.627833600310664
123.033,6948.0,52.0,2.72977039949517
128.033,7164.0,7.0,2.656375904082326
128.533,7164.0,7.0,2.493277025387117
134.533,7272.0,63.0,2.5136643852240184
135.033,7272.0,64.0,2.3913402262026113
135.533,7272.0,64.0,2.2690160671812047
136.033,7308.0,65.0,2.220086403572642
136.533,7308.0,65.0,2.220086403572642
137.033,7308.0,66.0,2.056987524877433
137.533,7308.0,66.0,2.056987524877433
138.033,7308.0,67.0,1.8938886461822242
138.533,7308.0,67.0,1.7715644871608174
139.033,7308.0,68.0,1.6201155283724091
139.533,7308.0,68.0,1.6201155283724091
140.033,7308.0,69.0,1.4977913693510023
140.533,7308.0,69.0,1.3346924906557933
142.533,7344.0,71.0,1.164797825348284
143.533,7344.0,72.0,1.164797825348284
145.033,7380.0,74.0,1.0288820931022766
145.533,7380.0,74.0,0.8657832144070676
146.033,7380.0,74.0,0.7434590553856609
146.533,7380.0,74.0,0.5531770302412505
148.033,7416.0,76.0,0.580360176690452
148.533,7416.0,76.0,0.4580360176690453
149.033,7416.0,77.0,0.3275569147128781
149.533,7416.0,77.0,0.22562011552837252
151.033,7452.0,79.0,0.2038735983690112
151.533,7452.0,79.0,0.2038735983690112
152.033,7488.0,80.0,0.26503567787971455
152.533,7488.0,80.0,0.26503567787971455
153.033,7488.0,81.0,0.26503567787971455
153.533,7488.0,81.0,0.18348623853211007
154.033,7488.0,82.0,0.18348623853211007
154.533,7488.0,82.0,0.18348623853211007
155.033,7524.0,83.0,0.26503567787971455
155.533,7524.0,83.0,0.26503567787971455
156.033,7524.0,84.0,0.26503567787971455
156.533,7524.0,84.0,0.26503567787971455
157.033,7524.0,84.0,0.26503567787971455
157.533,7524.0,84.0,0.26503567787971455
159.033,7560.0,86.0,0.29221882432891605
159.533,7560.0,86.0,0.27183146449201495
160.033,7596.0,87.0,0.3533809038396194
160.533,7596.0,87.0,0.3261977573904179
162.033,7596.0,89.0,0.3261977573904179
162.533,7596.0,89.0,0.3261977573904179
163.533,7632.0,90.0,0.36697247706422015
164.033,7632.0,91.0,0.33978933061501865
164.533,7632.0,91.0,0.33978933061501865
165.033,7668.0,91.0,0.42133876996262315
165.533,7668.0,91.0,0.42133876996262315
166.033,7668.0,92.0,0.39415562351342165
166.533,7668.0,92.0,0.39415562351342165
167.033,7704.0,93.0,0.39415562351342165
167.533,7704.0,93.0,0.39415562351342165
168.033,7704.0,94.0,0.39415562351342165
168.533,7704.0,94.0,0.39415562351342165
169.033,7704.0,95.0,0.39415562351342165
170.033,7740.0,96.0,0.4349303431872239
170.533,7740.0,96.0,0.3533809038396194
171.033,7740.0,97.0,0.3533809038396194
171.533,7740.0,97.0,0.3533809038396194
172.033,7776.0,97.0,0.4349303431872239
172.533,7776.0,97.0,0.4349303431872239
173.033,7776.0,98.0,0.4349303431872239
173.533,7776.0,98.0,0.4077471967380224
174.033,7812.0,99.0,0.4892966360856269
174.533,7812.0,99.0,0.4077471967380224
175.033,7812.0,100.0,0.4077471967380224
175.533,7812.0,100.0,0.4077471967380224
176.033,7848.0,101.0,0.4892966360856269
176.533,7848.0,101.0,0.44852191641182465
177.033,7848.0,102.0,0.44852191641182465
177.533,7848.0,102.0,0.44852191641182465
178.033,7848.0,102.0,0.36697247706422015
178.533,7848.0,102.0,0.36697247706422015
179.033,7884.0,103.0,0.44852191641182465
179.533,7884.0,103.0,0.44852191641182465
180.033,7884.0,104.0,0.36697247706422015
180.533,7884.0,104.0,0.36697247706422015
181.033,7920.0,105.0,0.44852191641182465
181.533,7920.0,105.0,0.44852191641182465
182.033,7920.0,106.0,0.44852191641182465
182.533,7920.0,106.0,0.4077471967380224
183.033,7956.0,106.0,0.4892966360856269
183.533,7956.0,106.0,0.4892966360856269
184.033,7956.0,107.0,0.4892966360856269
184.533,7956.0,107.0,0.4077471967380224
185.033,7992.0,108.0,0.4892966360856269
185.533,7992.0,108.0,0.4892966360856269
186.033,7992.0,109.0,0.4892966360856269
186.533,7992.0,109.0,0.4077471967380224
187.033,8028.0,110.0,0.4892966360856269
187.533,8028.0,110.0,0.4892966360856269
188.033,8028.0,110.0,0.4892966360856269
188.533,8028.0,110.0,0.4077471967380224
189.033,8064.0,111.0,0.4892966360856269
189.533,8064.0,111.0,0.4892966360856269
190.033,8064.0,112.0,0.4892966360856269
190.533,8064.0,112.0,0.4892966360856269
191.033,8100.0,113.0,0.5708460754332314
191.533,8100.0,113.0,0.4892966360856269
192.033,8100.0,114.0,0.4892966360856269
192.533,8100.0,114.0,0.4892966360856269
193.033,8136.0,114.0,0.5708460754332314
193.533,8136.0,114.0,0.4892966360856269
