t,v1,h1,a1,v2,h2,a2
0.017,,,,,,
0.267,8.0,0.0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.767,4.0,0.0,,,,
3.017,6.0,0.0,,,,
3.267,6.0,0.0,,,,
3.517,6.0,0.0,,,,
,,,,,,
,,,,,,
,,,,,,
4.517,2.0,0.0,,,,
4.767,13.0,0.0,,,,
5.017,14.0,0.0,,,,
5.267,17.0,0.0,0.1766904519198097,,,
,,,,,,
5.767,23.0,0.0,0.21066938498131157,,,
6.017,26.0,0.0,0.24464831804281345,,,
6.267,28.0,0.0,0.27183146449201495,,,
6.517,31.0,0.0,0.28315777551251553,,,
6.767,34.0,0.0,0.31713670857401743,,,
7.017,38.0,0.0,0.3624419526560199,,,
7.267,41.0,0.0,0.4077471967380224,,,
7.517,45.0,0.0,0.328463019594518,,,
7.767,48.0,0.0,0.3511156416355193,,,
8.017,52.0,0.0,0.3624419526560201,,,
8.267,55.0,0.0,0.3624419526560201,,,
8.517,58.0,0.0,0.3624419526560201,,,
8.767,62.0,0.0,0.3850945746970213,,,
9.017,67.0,0.0,0.40774719673802257,,,
9.267,71.0,0.0,0.41907350775852314,,,
9.517,74.0,0.0,0.40774719673802257,,,
9.767,78.0,0.0,0.41907350775852314,,,
10.017,82.0,0.0,0.41907350775852314,,,
10.267,85.0,0.0,0.41907350775852314,,,
10.517,89.0,0.0,0.41907350775852303,,,
10.767,93.0,0.0,0.4303998187790236,,,
11.017,97.0,0.0,0.44172612979952425,,,
11.267,100.0,0.0,0.4303998187790236,,,
11.517,103.0,0.1,0.4077471967380224,,,
,,,,,,
,,,,,,
12.267,115.0,0.1,0.4077471967380224,,,
12.517,118.0,0.1,0.4077471967380224,,,
12.767,123.0,0.1,0.41907350775852303,,,
13.017,127.0,0.1,0.41907350775852303,,,
13.267,131.0,0.1,0.4303998187790236,,,
13.517,135.0,0.1,0.4303998187790236,,,
13.767,139.0,0.1,0.4303998187790236,,,
14.017,143.0,0.1,0.4303998187790236,,,
14.267,147.0,0.2,0.44172612979952425,,,
14.517,150.0,0.2,0.44172612979952425,,,
14.767,155.0,0.2,0.4530524408200249,,,
15.017,159.0,0.2,0.4643787518405255,,,
15.267,163.0,0.2,0.4530524408200249,,,
15.517,166.0,0.2,0.44172612979952425,,,
15.767,170.0,0.2,0.44172612979952425,,,
,,,,,,
,,,,,,
,,,,,,
16.767,187.0,0.3,0.4445577075546494,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18.017,208.0,0.4,0.4468229697587495,,,
18.267,213.0,0.4,0.45814928077925016,,,
18.517,217.0,0.4,0.45814928077925016,,,
18.767,221.0,0.4,0.4694755917997508,,,
19.017,225.0,0.4,0.45814928077925016,,,
19.267,230.0,0.4,0.4694755917997508,,,
19.517,234.0,0.4,0.4694755917997508,,,
19.767,238.0,0.5,0.48080190282025137,,,
20.017,243.0,0.5,0.492128213840752,,,
20.267,248.0,0.5,0.5006229471061274,,,
20.517,252.0,0.5,0.49835768490202736,,,
20.767,256.0,0.5,0.48703137388152673,,,
21.017,260.0,0.6,0.48703137388152673,,,
21.267,265.0,0.6,0.49835768490202736,,,
21.517,269.0,0.6,0.49835768490202736,,,
21.767,274.0,0.6,0.49835768490202736,,,
22.017,278.0,0.6,0.49835768490202736,,,
22.267,283.0,0.7,0.509683995922528,,,
22.517,288.0,0.7,0.509683995922528,,,
22.767,292.0,0.7,0.49835768490202736,,,
23.017,297.0,0.7,0.509683995922528,,,
23.267,302.0,0.7,0.5210103069430286,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25.017,335.0,0.9,0.5291005291005291,,,
25.267,339.0,0.9,0.5177742180800284,,,
25.517,344.0,0.9,0.5291005291005291,,,
,,,,,,
26.017,353.0,1.0,0.5234373735902788,,,
26.267,358.0,1.0,0.5347636846107794,,,
26.517,363.0,1.0,0.5347636846107794,,,
26.767,367.0,1.1,0.5234373735902788,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28.517,403.0,1.3,0.5363817290422794,,,
28.767,408.0,1.3,0.5363817290422794,,,
29.017,413.0,1.3,0.5363817290422794,,,
29.267,417.0,1.3,0.528291506884779,,,
29.517,423.0,1.4,0.5509441289257803,,,
29.767,428.0,1.4,0.5509441289257803,,,
30.017,434.0,1.4,0.5679335954565312,,,
30.267,438.0,1.5,0.5566072844360306,,,
30.517,443.0,1.5,0.5566072844360306,,,
30.767,448.0,1.5,0.5679335954565312,,,
31.017,454.0,1.6,0.5776418620455317,,,
31.267,459.0,1.6,0.5776418620455317,,,
31.517,465.0,1.6,0.5889681730660323,,,
,,,,,,
32.017,476.0,1.7,0.6059576395967828,,,
,,,,,,
,,,,,,
32.767,490.0,1.8,0.5908558915694486,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34.017,517.0,2.0,0.5953864159776489,,,
34.267,522.0,2.0,0.5840601049571483,,,
34.517,529.0,2.0,0.6180390380186501,,,
34.767,533.0,2.1,0.6067127269981495,,,
,,,,,,
35.267,546.0,2.2,0.6237021935289004,,,
35.517,552.0,2.2,0.6237021935289004,,,
35.767,557.0,2.2,0.6237021935289004,,,
36.017,563.0,2.3,0.6237021935289004,,,
36.267,568.0,2.3,0.6180390380186506,,,
36.517,574.0,2.3,0.6331407860459848,,,
,,,,,,
37.017,585.0,2.4,0.6342734171480349,,,
