t,v1,h1,a1,v2,h2,a2
0.5,0.0,0.1,,,,
1.0,0.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
3.0,4.0,0.1,,,,
,,,,,,
4.0,15.0,0.1,,,,
,,,,,,
,,,,,,
5.5,20.0,0.1,,,,
6.0,27.0,0.1,,,,
6.5,32.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10.0,84.0,0.2,,,,
10.5,93.0,0.2,,,,
11.0,101.0,0.2,,,,
11.5,109.0,0.2,,,,
12.0,116.0,0.2,,,,
12.5,125.0,0.2,,,,
,,,,,,
,,,,,,
14.0,150.0,0.3,,,,
14.5,158.0,0.3,0.321,,,
15.0,167.0,0.3,0.355,,,
,,,,,,
16.0,184.0,0.4,0.387,,,
16.5,192.0,0.4,0.413,,,
17.0,200.0,0.4,0.423,,,
,,,,,,
18.0,218.0,0.5,0.45,,,
18.5,227.0,0.5,0.458,,,
,,,,,,
19.5,247.0,0.6,0.477,,,
20.0,255.0,0.6,0.479,,,
,,,,,,
21.0,274.0,0.7,0.481,,,
,,,,,,
22.0,292.0,0.8,0.485,,,
22.5,302.0,0.8,0.492,,,
,,,,,,
23.5,322.0,0.9,0.503,,,
,,,,,,
24.5,341.0,1.0,0.505,,,
,,,,,,
25.5,361.0,1.1,0.512,,,
,,,,,,
26.5,381.0,1.2,0.519,,,
27.0,391.0,1.3,0.523,,,
27.5,402.0,1.3,0.532,,,
28.0,411.0,1.4,0.536,,,
28.5,422.0,1.4,0.547,,,
29.0,433.0,1.5,0.555,,,
29.5,443.0,1.6,0.559,,,
30.0,454.0,1.6,0.563,,,
30.5,465.0,1.7,0.574,,,
31.0,476.0,1.8,0.58,,,
31.5,487.0,1.8,0.587,,,
32.0,497.0,1.9,0.587,,,
32.5,508.0,2.0,0.591,,,
33.0,519.0,2.0,0.597,,,
33.5,531.0,2.1,0.604,,,
34.0,542.0,2.2,0.608,,,
34.5,553.0,2.3,0.612,,,
35.0,565.0,2.4,0.615,,,
35.5,577.0,2.4,0.627,,,
36.0,589.0,2.5,0.63,,,
36.5,601.0,2.6,0.634,,,
37.0,614.0,2.7,0.646,,,
37.5,625.0,2.8,0.646,,,
,,,,,,
38.5,649.0,3.0,0.649,,,
39.0,661.0,3.0,0.653,,,
39.5,673.0,3.1,0.657,,,
40.0,686.0,3.2,0.668,,,
40.5,697.0,3.3,0.668,,,
41.0,711.0,3.4,0.68,,,
41.5,724.0,3.5,0.683,,,
42.0,736.0,3.6,0.687,,,
,,,,,,
43.0,763.0,3.8,0.697,,,
43.5,777.0,3.9,0.704,,,
44.0,789.0,4.0,0.704,,,
44.5,803.0,4.1,0.712,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.5,865.0,5.0,0.696,,,
,,,,,,
49.5,879.0,5.2,0.673,,,
50.0,886.0,5.4,0.658,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52.5,921.0,6.0,0.639,,,
53.0,929.0,6.1,0.624,,,
,,,,,,
54.0,944.0,6.4,0.607,,,
,,,,,,
,,,,,,
55.5,967.0,6.7,0.587,,,
,,,,,,
56.5,983.0,7.0,0.575,,,
,,,,,,
57.5,1000.0,7.3,0.555,,,
58.0,1008.0,7.4,0.536,,,
58.5,1016.0,7.5,0.521,,,
59.0,1024.0,7.6,0.5,,,
59.5,1033.0,7.8,0.481,,,
60.0,1041.0,7.9,0.466,,,
60.5,1050.0,8.0,0.447,,,
61.0,1059.0,8.2,0.452,,,
61.5,1069.0,8.4,0.463,,,
62.0,1077.0,8.5,0.467,,,
,,,,,,
63.0,1096.0,8.7,0.476,,,
,,,,,,
64.0,1120.0,9.0,0.491,,,
64.5,1134.0,9.2,0.516,,,
,,,,,,
65.5,1165.0,9.5,0.546,,,
,,,,,,
66.5,1198.0,9.8,0.578,,,
67.0,1215.0,10.0,0.61,,,
67.5,1232.0,10.1,0.644,,,
68.0,1251.0,10.3,0.685,,,
68.5,1269.0,10.4,0.723,,,
69.0,1287.0,10.6,0.757,,,
69.5,1306.0,10.7,0.799,,,
70.0,1323.0,10.9,0.829,,,
,,,,,,
71.0,1360.0,11.2,0.865,,,
,,,,,,
72.0,1400.0,11.6,0.902,,,
72.5,1419.0,11.8,0.944,,,
73.0,1438.0,11.9,0.98,,,
73.5,1458.0,12.1,1.01,,,
,,,,,,
74.5,1496.0,12.5,1.029,,,
75.0,1516.0,12.6,1.046,,,
75.5,1535.0,12.8,1.055,,,
76.0,1556.0,13.0,1.07,,,
76.5,1576.0,13.2,1.082,,,
77.0,1597.0,13.4,1.089,,,
77.5,1618.0,13.6,1.101,,,
78.0,1639.0,13.8,1.112,,,
78.5,1658.0,13.9,1.112,,,
79.0,1679.0,14.1,1.127,,,
79.5,1700.0,14.4,1.136,,,
,,,,,,
,,,,,,
81.0,1763.0,15.0,1.14,,,
81.5,1785.0,15.1,1.152,,,
82.0,1807.0,15.3,1.163,,,
82.5,1830.0,15.5,1.174,,,
83.0,1852.0,15.7,1.185,,,
83.5,1875.0,15.9,1.197,,,
84.0,1901.0,16.2,1.223,,,
84.5,1923.0,16.4,1.227,,,
85.0,1950.0,16.6,1.253,,,
85.5,1970.0,16.8,1.25,,,
86.0,1997.0,17.1,1.272,,,
86.5,2019.0,17.3,1.276,,,
87.0,2046.0,17.5,1.306,,,
87.5,2071.0,17.8,1.321,,,
88.0,2096.0,18.0,1.337,,,
88.5,2121.0,18.2,1.352,,,
89.0,2146.0,18.5,1.363,,,
89.5,2171.0,18.7,1.374,,,
,,,,,,
90.5,2224.0,19.2,1.387,,,
91.0,2250.0,19.4,1.403,,,
91.5,2277.0,19.6,1.418,,,
92.0,2303.0,19.9,1.418,,,
92.5,2330.0,20.1,1.437,,,
93.0,2358.0,20.4,1.44,,,
93.5,2384.0,20.6,1.463,,,
94.0,2412.0,20.9,1.467,,,
94.5,2438.0,21.1,1.482,,,
95.0,2468.0,21.4,1.493,,,
95.5,2496.0,21.6,1.505,,,
96.0,2525.0,21.9,1.52,,,
96.5,2554.0,22.2,1.535,,,
97.0,2582.0,22.4,1.546,,,
97.5,2611.0,22.7,1.561,,,
98.0,2644.0,23.0,1.586,,,
98.5,2672.0,23.2,1.593,,,
99.0,2704.0,23.6,1.612,,,
99.5,2732.0,23.8,1.62,,,
,,,,,,
100.5,2796.0,24.4,1.639,,,
101.0,2824.0,24.6,1.639,,,
101.5,2858.0,24.8,1.669,,,
102.0,2887.0,25.2,1.673,,,
102.5,2920.0,25.4,1.699,,,
103.0,2951.0,25.7,1.703,,,
103.5,2984.0,26.0,1.722,,,
104.0,3014.0,26.3,1.725,,,
104.5,3049.0,26.6,1.748,,,
,,,,,,
105.5,3116.0,27.2,1.769,,,
106.0,3149.0,27.4,1.784,,,
106.5,3182.0,27.8,1.784,,,
,,,,,,
107.5,3246.0,28.4,1.799,,,
108.0,3282.0,28.6,1.814,,,
108.5,3315.0,29.0,1.833,,,
109.0,3350.0,29.3,1.844,,,
109.5,3387.0,29.6,1.878,,,
110.0,3422.0,30.0,1.882,,,
110.5,3460.0,30.2,1.916,,,
111.0,3496.0,30.5,1.927,,,
111.5,3530.0,30.9,1.939,,,
112.0,3567.0,31.2,1.954,,,
112.5,3605.0,31.5,1.984,,,
113.0,3642.0,31.8,1.992,,,
113.5,3680.0,32.2,2.009,,,
114.0,3718.0,32.5,2.027,,,
114.5,3755.0,32.8,2.043,,,
115.0,3797.0,33.2,2.08,,,
115.5,3832.0,33.5,2.076,,,
116.0,3874.0,33.9,2.11,,,
116.5,3914.0,34.2,2.129,,,
117.0,3954.0,34.6,2.141,,,
,,,,,,
118.0,4031.0,35.2,2.154,,,
118.5,4075.0,35.5,2.177,,,
119.0,4113.0,35.8,2.184,,,
119.5,4157.0,36.2,2.222,,,
120.0,4196.0,36.6,2.229,,,
120.5,4241.0,37.0,2.256,,,
121.0,4282.0,37.3,2.271,,,
121.5,4321.0,37.6,2.275,,,
122.0,4362.0,38.0,2.286,,,
122.5,4409.0,38.4,2.324,,,
123.0,4455.0,38.8,2.339,,,
123.5,4499.0,39.2,2.373,,,
124.0,4543.0,39.5,2.38,,,
124.5,4587.0,39.9,2.396,,,
125.0,4632.0,40.3,2.414,,,
125.5,4677.0,40.7,2.439,,,
,,,,,,
126.5,4767.0,41.5,2.443,,,
127.0,4813.0,41.9,2.473,,,
