t,v1,h1,a1,v2,h2,a2
0.5,0.0,-0.0,,,,
,,,,,,
1.5,0.0,-0.0,,,,
2.0,0.0,-0.0,,,,
2.5,0.0,-0.0,,,,
3.0,3.0,-0.0,,,,
3.5,4.0,-0.0,,,,
4.0,5.0,-0.0,,,,
,,,,,,
5.0,14.0,0.0,,,,
5.5,20.0,0.0,,,,
6.0,26.0,0.0,,,,
6.5,32.0,0.0,,,,
7.0,38.0,0.0,,,,
7.5,46.0,0.0,,,,
8.0,52.0,0.0,,,,
8.5,59.0,0.0,0.206,,,
9.0,67.0,0.0,0.236,,,
9.5,74.0,0.0,0.262,,,
10.0,80.0,0.0,0.285,,,
,,,,,,
,,,,,,
,,,,,,
12.0,111.0,0.1,0.314,,,
12.5,118.0,0.1,0.329,,,
13.0,127.0,0.1,0.36,,,
13.5,134.0,0.1,0.382,,,
,,,,,,
,,,,,,
15.0,159.0,0.2,0.397,,,
15.5,167.0,0.2,0.404,,,
16.0,175.0,0.2,0.412,,,
,,,,,,
17.0,192.0,0.3,0.421,,,
17.5,201.0,0.3,0.433,,,
,,,,,,
18.5,218.0,0.4,0.434,,,
19.0,225.0,0.4,0.438,,,
,,,,,,
20.0,243.0,0.5,0.446,,,
20.5,252.0,0.5,0.45,,,
,,,,,,
21.5,270.0,0.6,0.457,,,
22.0,279.0,0.6,0.468,,,
,,,,,,
23.0,297.0,0.7,0.473,,,
,,,,,,
24.0,316.0,0.8,0.483,,,
,,,,,,
25.0,335.0,0.9,0.485,,,
,,,,,,
26.0,354.0,1.0,0.494,,,
26.5,363.0,1.0,0.496,,,
27.0,372.0,1.1,0.5,,,
27.5,383.0,1.1,0.512,,,
28.0,392.0,1.2,0.513,,,
28.5,402.0,1.2,0.517,,,
29.0,411.0,1.3,0.519,,,
29.5,421.0,1.3,0.53,,,
30.0,432.0,1.4,0.538,,,
30.5,442.0,1.5,0.542,,,
31.0,452.0,1.5,0.546,,,
31.5,463.0,1.6,0.553,,,
32.0,474.0,1.7,0.561,,,
32.5,485.0,1.7,0.566,,,
33.0,494.0,1.8,0.564,,,
33.5,506.0,1.9,0.574,,,
34.0,516.0,1.9,0.578,,,
34.5,527.0,2.0,0.585,,,
35.0,539.0,2.1,0.589,,,
35.5,550.0,2.2,0.597,,,
,,,,,,
,,,,,,
,,,,,,
37.5,594.0,2.5,0.6,,,
38.0,607.0,2.6,0.615,,,
38.5,618.0,2.7,0.619,,,
39.0,630.0,2.8,0.623,,,
39.5,641.0,2.9,0.627,,,
,,,,,,
40.5,666.0,3.0,0.636,,,
41.0,677.0,3.1,0.636,,,
41.5,689.0,3.2,0.64,,,
42.0,702.0,3.3,0.647,,,
42.5,714.0,3.4,0.659,,,
43.0,726.0,3.5,0.659,,,
43.5,738.0,3.6,0.666,,,
44.0,751.0,3.7,0.674,,,
,,,,,,
45.0,776.0,3.9,0.676,,,
45.5,789.0,4.0,0.683,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.0,836.0,4.6,0.677,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
50.5,867.0,5.2,0.652,,,
51.0,874.0,5.3,0.637,,,
,,,,,,
52.0,887.0,5.6,0.616,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54.5,920.0,6.2,0.599,,,
,,,,,,
,,,,,,
56.0,940.0,6.6,0.577,,,
,,,,,,
,,,,,,
57.5,961.0,7.0,0.562,,,
58.0,969.0,7.1,0.547,,,
58.5,976.0,7.3,0.524,,,
,,,,,,
,,,,,,
60.0,999.0,7.7,0.508,,,
60.5,1006.0,7.8,0.489,,,
61.0,1013.0,7.9,0.47,,,
,,,,,,
62.0,1028.0,8.2,0.449,,,
62.5,1037.0,8.4,0.436,,,
,,,,,,
,,,,,,
,,,,,,
64.5,1070.0,9.0,0.418,,,
,,,,,,
65.5,1087.0,9.3,0.415,,,
,,,,,,
66.5,1103.0,9.6,0.422,,,
67.0,1112.0,9.7,0.429,,,
,,,,,,
68.0,1130.0,10.0,0.439,,,
68.5,1139.0,10.2,0.448,,,
69.0,1147.0,10.3,0.453,,,
69.5,1156.0,10.5,0.46,,,
70.0,1166.0,10.7,0.468,,,
70.5,1175.0,10.8,0.475,,,
71.0,1184.0,11.0,0.48,,,
71.5,1194.0,11.2,0.492,,,
72.0,1204.0,11.3,0.503,,,
72.5,1213.0,11.5,0.509,,,
73.0,1223.0,11.7,0.513,,,
73.5,1235.0,11.8,0.527,,,
74.0,1249.0,12.0,0.547,,,
74.5,1264.0,12.1,0.574,,,
75.0,1279.0,12.2,0.597,,,
75.5,1296.0,12.4,0.627,,,
76.0,1312.0,12.6,0.653,,,
76.5,1330.0,12.8,0.691,,,
77.0,1348.0,13.0,0.725,,,
77.5,1366.0,13.1,0.755,,,
78.0,1383.0,13.3,0.785,,,
78.5,1403.0,13.5,0.827,,,
79.0,1422.0,13.7,0.861,,,
79.5,1441.0,13.9,0.895,,,
80.0,1462.0,14.1,0.94,,,
,,,,,,
81.0,1500.0,14.5,0.974,,,
81.5,1519.0,14.7,1.0,,,
,,,,,,
82.5,1560.0,15.1,1.025,,,
83.0,1581.0,15.4,1.048,,,
83.5,1602.0,15.6,1.07,,,
84.0,1623.0,15.8,1.085,,,
84.5,1643.0,16.0,1.101,,,
85.0,1664.0,16.2,1.112,,,
85.5,1685.0,16.4,1.123,,,
86.0,1705.0,16.6,1.131,,,
86.5,1728.0,16.9,1.153,,,
87.0,1748.0,17.1,1.153,,,
,,,,,,
88.0,1792.0,17.6,1.165,,,
88.5,1815.0,17.8,1.18,,,
89.0,1836.0,18.1,1.18,,,
89.5,1859.0,18.3,1.195,,,
90.0,1882.0,18.5,1.21,,,
,,,,,,
91.0,1927.0,19.0,1.218,,,
91.5,1950.0,19.3,1.225,,,
92.0,1974.0,19.6,1.236,,,
92.5,1998.0,19.8,1.248,,,
93.0,2023.0,20.1,1.267,,,
93.5,2046.0,20.3,1.274,,,
94.0,2070.0,20.6,1.286,,,
,,,,,,
95.0,2118.0,21.1,1.301,,,
95.5,2141.0,21.4,1.301,,,
96.0,2166.0,21.7,1.32,,,
96.5,2191.0,22.0,1.331,,,
97.0,2216.0,22.3,1.338,,,
97.5,2241.0,22.5,1.353,,,
98.0,2266.0,22.8,1.361,,,
98.5,2292.0,23.1,1.372,,,
99.0,2318.0,23.4,1.386,,,
99.5,2346.0,23.7,1.404,,,
100.0,2372.0,24.0,1.412,,,
100.5,2399.0,24.3,1.423,,,
101.0,2424.0,24.6,1.423,,,
101.5,2447.0,24.8,1.423,,,
102.0,2476.0,25.3,1.442,,,
102.5,2501.0,25.4,1.446,,,
103.0,2530.0,25.9,1.469,,,
103.5,2558.0,26.2,1.48,,,
104.0,2584.0,26.5,1.484,,,
104.5,2612.0,26.8,1.495,,,
105.0,2640.0,27.2,1.506,,,
105.5,2668.0,27.4,1.518,,,
106.0,2696.0,27.8,1.525,,,
106.5,2724.0,28.1,1.533,,,
107.0,2752.0,28.4,1.533,,,
107.5,2783.0,28.7,1.552,,,
108.0,2812.0,29.1,1.559,,,
108.5,2844.0,29.4,1.586,,,
109.0,2872.0,29.8,1.605,,,
109.5,2904.0,30.1,1.616,,,
110.0,2932.0,30.5,1.627,,,
110.5,2965.0,30.9,1.642,,,
111.0,2994.0,31.2,1.646,,,
111.5,3027.0,31.5,1.673,,,
112.0,3056.0,31.9,1.676,,,
112.5,3089.0,32.3,1.695,,,
113.0,3119.0,32.6,1.703,,,
113.5,3153.0,33.0,1.725,,,
114.0,3186.0,33.4,1.744,,,
114.5,3217.0,33.8,1.756,,,
115.0,3250.0,34.2,1.763,,,
115.5,3284.0,34.6,1.782,,,
116.0,3316.0,35.0,1.782,,,
116.5,3349.0,35.4,1.801,,,
117.0,3383.0,35.8,1.808,,,
117.5,3417.0,36.2,1.831,,,
,,,,,,
118.5,3485.0,37.0,1.835,,,
119.0,3519.0,37.4,1.854,,,
119.5,3556.0,37.8,1.869,,,
120.0,3592.0,38.2,1.895,,,
120.5,3627.0,38.6,1.903,,,
121.0,3663.0,39.0,1.925,,,
