t,v,h,a
0.033,6.0,6.1,
0.533,6.0,6.1,
,,,
1.533,5.0,6.1,
2.033,12.0,6.1,
2.533,16.0,6.1,
3.033,21.0,6.1,
3.533,28.0,6.1,
4.033,33.0,6.1,
4.533,39.0,6.2,
5.033,43.0,6.2,0.21236833163438662
5.533,58.0,6.2,0.2973156642881413
6.033,56.0,6.2,0.2859893532676407
6.533,62.0,6.2,0.3227998640842677
7.033,67.0,6.2,0.31147355306376706
7.533,72.0,6.2,0.3171367085740174
8.033,79.0,6.2,0.32846301959451807
8.533,85.0,6.2,0.32279986408426775
9.033,2.0,6.2,-0.17555782081775959
,,,
10.033,104.0,6.3,0.0792841771435044
10.533,118.0,6.3,0.1359157322460075
11.033,116.0,6.3,0.03964208857175222
11.533,122.0,6.3,0.0849473326537547
12.033,129.0,6.3,0.09061048816400502
12.533,136.0,6.3,0.10193679918450564
13.033,142.0,6.4,0.10759995469475594
13.533,149.0,6.4,0.10759995469475588
14.033,156.0,6.4,0.11326311020500619
14.533,163.0,6.4,0.6229471061275342
15.033,178.0,6.4,0.41907350775852303
15.533,177.0,6.5,0.33412617510476833
16.033,184.0,6.5,0.385094574697021
16.533,191.0,6.5,0.39075773020727134
17.033,199.0,6.6,0.39642088571752165
17.533,205.0,6.6,0.39075773020727134
18.033,214.0,6.6,0.40774719673802223
18.533,228.0,6.6,0.44738928530977445
19.033,228.0,6.7,0.40774719673802223
19.533,235.0,6.7,0.40774719673802223
20.033,243.0,6.7,0.36810510816627007
20.533,251.0,6.8,0.41907350775852287
21.033,258.0,6.8,0.41907350775852303
21.533,267.0,6.8,0.4303998187790236
22.033,276.0,6.9,0.43606297428927393
22.533,282.0,6.9,0.43606297428927393
,,,
23.533,299.0,1.8,0.43323139653414877
24.033,308.0,1.8,0.40491561898289724
24.533,316.0,1.1,0.4502208630648997
,,,
25.533,334.0,1.2,0.46154717408540036
26.033,342.0,1.2,0.46154717408540036
26.533,351.0,1.3,0.4672103295956507
27.033,368.0,1.3,0.5238418846981537
27.533,369.0,1.4,0.4785366406161513
28.033,378.0,1.4,0.4785366406161513
28.533,387.0,1.5,0.4955261071469022
29.033,397.0,1.5,0.5040208404122777
29.533,405.0,1.6,0.49835768490202736
