t,v,h,a
,,,
,,,
,,,
,,,
,,,
,,,
3.5,28.1,8.1,
,,,
,,,
5.0,48.0,6.2,
5.5,46.0,6.2,
,,,
,,,
7.0,21.0,0.2,
,,,
,,,
,,,
9.0,87.0,0.2,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
23.5,286.0,1.8,
24.0,295.0,1.8,
24.5,303.0,1.8,
25.0,311.0,1.1,
25.5,319.0,1.1,
,,,
26.5,336.0,1.2,
,,,
27.5,353.0,1.3,
28.0,362.0,1.4,
28.5,378.0,1.4,
29.0,386.0,1.5,0.388
29.5,389.0,1.5,0.399
30.0,398.0,1.6,0.408
30.5,408.0,1.6,0.453
31.0,417.0,1.7,0.519
31.5,426.0,1.7,0.49
32.0,436.0,1.8,0.502
32.5,445.0,1.9,0.502
33.0,456.0,1.9,0.513
,,,
,,,
,,,
,,,
,,,
36.0,516.0,2.3,0.521
36.5,525.0,2.0,0.525
,,,
,,,
,,,
,,,
39.0,588.0,2.8,0.54
39.5,591.0,2.9,0.52
40.0,603.0,2.9,0.531
,,,
41.0,626.0,3.1,0.514
41.5,637.0,3.2,0.525
42.0,649.0,3.3,0.559
42.5,661.0,3.4,0.57
43.0,673.0,3.5,0.578
43.5,686.0,3.6,0.593
44.0,699.0,3.7,0.608
44.5,711.0,3.8,0.616
45.0,723.0,3.8,0.627
45.5,736.0,3.9,0.635
46.0,758.0,4.1,0.68
46.5,762.0,4.1,0.661
47.0,776.0,4.3,0.666
47.5,789.0,4.4,0.704
48.0,882.0,4.5,1.01
48.5,815.0,4.6,0.714
49.0,831.0,4.7,0.732
49.5,843.0,4.8,0.732
50.0,857.0,4.9,0.74
,,,
51.0,887.0,5.2,0.751
,,,
,,,
,,,
,,,
,,,
,,,
,,,
55.0,1004.0,6.1,0.757
,,,
56.0,1034.0,6.4,0.765
56.5,1049.0,6.5,0.776
57.0,1065.0,6.7,0.791
57.5,1088.0,6.8,0.829
,,,
58.5,1118.0,7.1,0.803
59.0,1123.0,7.2,0.807
59.5,1139.0,7.4,0.814
60.0,1153.0,7.6,0.818
60.5,1166.0,7.7,0.516
61.0,1182.0,7.9,0.829
,,,
62.0,1218.0,8.2,0.837
62.5,1225.0,8.3,0.818
63.0,1241.0,8.5,0.825
63.5,1255.0,8.6,0.822
64.0,1272.0,8.8,0.831
64.5,1286.0,8.9,0.827
65.0,1303.0,9.1,0.834
65.5,1319.0,9.3,0.834
66.0,1334.0,9.4,0.804
66.5,1352.0,9.6,0.815
67.0,1369.0,9.8,0.861
67.5,1386.0,9.9,0.865
68.0,1483.0,10.1,1.178
,,,
69.0,1448.0,10.5,1.063
69.5,1458.0,10.6,1.04
,,,
,,,
,,,
,,,
72.0,1556.0,11.6,1.046
72.5,1576.0,11.7,1.095
73.0,1598.0,11.9,1.118
73.5,1616.0,12.1,1.133
74.0,1638.0,12.3,1.152
74.5,1661.0,12.5,1.186
75.0,1684.0,12.7,1.209
75.5,1704.0,12.9,1.224
,,,
76.5,1752.0,13.3,1.258
