t,v1,h1,a1,v2,h2,a2
0.033,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5.533,19.0,-0.0,,,,
6.033,25.0,0.0,,,,
,,,,,,
7.033,37.0,0.0,,,,
7.533,44.0,0.0,,,,
8.033,51.0,0.0,,,,
8.533,57.0,0.0,,,,
9.033,64.0,0.0,,,,
9.533,72.0,0.0,,,,
10.033,79.0,0.0,0.30581039755351686,,,
10.533,86.0,0.0,0.345452486125269,,,
11.033,94.0,0.0,0.3907577302072715,,,
11.533,101.0,0.0,0.3964208857175218,,,
12.033,108.0,0.1,0.40208404122777214,,,
12.533,117.0,0.1,0.41341035224827277,,,
13.033,124.0,0.1,0.4134103522482727,,,
13.533,132.0,0.1,0.42473666326877335,,,
14.033,140.0,0.1,0.4303998187790236,,,
14.533,147.0,0.2,0.42473666326877335,,,
15.033,155.0,0.2,0.4303998187790236,,,
15.533,163.0,0.2,0.43606297428927393,,,
16.033,172.0,0.2,0.4417261297995241,,,
16.533,181.0,0.3,0.4530524408200247,,,
17.033,189.0,0.3,0.45871559633027503,,,
17.533,197.0,0.3,0.4530524408200247,,,
18.033,204.0,0.3,0.4530524408200247,,,
18.533,214.0,0.4,0.46437875184052535,,,
19.033,222.0,0.4,0.46437875184052535,,,
19.533,231.0,0.4,0.47570506286102593,,,
20.033,240.0,0.5,0.48136821837127625,,,
20.533,249.0,0.5,0.48703137388152656,,,
21.033,258.0,0.5,0.48703137388152673,,,
21.533,267.0,0.6,0.48703137388152673,,,
22.033,276.0,0.6,0.49269452939177705,,,
22.533,284.0,0.6,0.49269452939177705,,,
23.033,294.0,0.7,0.509683995922528,,,
23.533,303.0,0.7,0.5040208404122777,,,
24.033,312.0,0.8,0.509683995922528,,,
24.533,321.0,0.8,0.509683995922528,,,
25.033,330.0,0.8,0.509683995922528,,,
25.533,341.0,0.9,0.5210103069430286,,,
26.033,350.0,0.9,0.5210103069430286,,,
26.533,360.0,1.0,0.526673462453279,,,
27.033,369.0,1.0,0.526673462453279,,,
27.533,380.0,1.1,0.5436629289840299,,,
,,,,,,
28.533,399.0,1.2,0.5408313512289047,,,
29.033,409.0,1.3,0.546494506739155,,,
29.533,419.0,1.3,0.5521576622494053,,,
30.033,429.0,1.4,0.5578208177596556,,,
30.533,440.0,1.4,0.5691471287801563,,,
31.033,450.0,1.5,0.563483973269906,,,
31.533,460.0,1.6,0.5691471287801563,,,
32.033,471.0,1.6,0.5748102842904066,,,
32.533,481.0,1.7,0.5804734398006569,,,
,,,,,,
33.533,502.0,1.8,0.5776418620455317,,,
34.033,515.0,1.9,0.5974629063314078,,,
34.533,524.0,2.0,0.5917997508211574,,,
35.033,536.0,2.1,0.6031260618416581,,,
35.533,548.0,2.1,0.6144523728621587,,,
36.033,559.0,2.2,0.6144523728621587,,,
,,,,,,
37.033,582.0,2.4,0.6229471061275342,,,
37.533,594.0,2.5,0.6342734171480349,,,
38.033,605.0,2.5,0.6342734171480349,,,
38.533,617.0,2.6,0.6455997281685355,,,
39.033,628.0,2.7,0.6484313059236606,,,
39.533,640.0,2.8,0.6427681504134103,,,
,,,,,,
40.533,664.0,3.0,0.6597576169441612,,,
41.033,678.0,3.1,0.6710839279646619,,,
41.533,689.0,3.2,0.6654207724544116,,,
42.033,701.0,3.3,0.6710839279646619,,,
42.533,713.0,3.4,0.673915505719787,,,
43.033,726.0,3.5,0.6795786612300373,,,
43.533,739.0,3.6,0.6909049722505379,,,
44.033,752.0,3.7,0.6965681277607882,,,
44.533,765.0,3.8,0.7078944387812889,,,
45.033,778.0,3.9,0.7135575942915392,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49.033,846.0,4.7,0.6937365500056631,,,
,,,,,,
,,,,,,
50.533,866.0,5.1,0.6522067429304942,,,
51.033,873.0,5.2,0.6295541208894929,,,
,,,,,,
52.033,887.0,5.5,0.6012383433382413,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54.533,923.0,6.1,0.5740551968890398,,,
,,,,,,
55.533,938.0,6.3,0.5429078415826631,,,
56.033,944.0,6.4,0.503265753010911,,,
56.533,953.0,6.5,0.48061313096990976,,,
57.033,961.0,6.7,0.4522973534186582,,,
,,,,,,
,,,,,,
58.533,987.0,7.0,0.4277570128742402,,,
59.033,997.0,7.2,0.4362517461396156,,,
59.533,1010.0,7.3,0.4721183977045343,,,
60.033,1022.0,7.4,0.5004341752557858,,,
60.533,1038.0,7.6,0.5514025748480387,,,
61.033,1053.0,7.7,0.595575187827991,,,
61.533,1069.0,7.8,0.6437120096651187,,,
62.033,1085.0,8.0,0.7003435647676218,,,
62.533,1101.0,8.1,0.7399856533393739,,,
,,,,,,
63.533,1135.0,8.4,0.7909540529316268,,,
64.033,1152.0,8.6,0.8381470155170461,,,
64.533,1168.0,8.7,0.872125948578548,,,
,,,,,,
65.533,1203.0,9.0,0.8976101483746743,,,
66.033,1219.0,9.1,0.9202627704156756,,,
66.533,1237.0,9.3,0.9315890814361761,,,
67.033,1254.0,9.4,0.9429153924566768,,,
67.533,1271.0,9.6,0.9485785479669271,,,
68.033,1289.0,9.8,0.9599048589874277,,,
68.533,1307.0,9.9,0.9712311700079284,,,
69.033,1325.0,10.1,0.9768943255181787,,,
69.533,1344.0,10.2,0.9882206365386793,,,
70.033,1361.0,10.3,0.9938837920489296,,,
70.533,1379.0,10.5,0.9967153698040547,,,
71.033,1398.0,10.6,1.0137048363348058,,,
71.533,1417.0,10.8,1.019367991845056,,,
72.033,1435.0,11.0,1.0250311473553064,,,
72.533,1455.0,11.1,1.0420206138860573,,,
73.033,1474.0,11.3,1.0476837693963075,,,
73.533,1494.0,11.5,1.059010080416808,,,
74.033,1513.0,11.6,1.0646732359270585,,,
74.533,1532.0,11.8,1.0646732359270585,,,
75.033,1552.0,12.0,1.0816627024578094,,,
75.533,1574.0,12.2,1.1043153244988106,,,
76.033,1594.0,12.4,1.1099784800090609,,,
76.533,1615.0,12.5,1.1213047910295615,,,
77.033,1635.0,12.8,1.1326311020500621,,,
77.533,1653.0,12.9,1.1213047910295615,,,
78.033,1675.0,13.1,1.1382942575603126,,,
78.533,1695.0,13.3,1.1382942575603126,,,
,,,,,,
79.533,1737.0,13.7,1.1496205685808132,,,
80.033,1759.0,13.9,1.166610035111564,,,
80.533,1780.0,14.1,1.1722731906218145,,,
,,,,,,
81.533,1824.0,14.5,1.1722731906218145,,,
82.033,1847.0,14.7,1.1892626571525653,,,
,,,,,,
