t,v1,h1,a1,v2,h2,a2
,,,,,,
1.0,0.0,-0.0,,,,
1.5,0.0,-0.0,,,,
2.0,0.0,-0.0,,,,
2.5,0.0,-0.0,,,,
3.0,3.0,-0.0,,,,
3.5,4.0,-0.0,,,,
4.0,5.0,-0.0,,,,
4.5,5.0,0.0,,,,
5.0,10.0,0.0,,,,
5.5,16.0,0.0,,,,
6.0,22.0,0.0,,,,
6.5,23.0,0.0,,,,
,,,,,,
7.5,42.0,0.0,,,,
8.0,48.0,0.0,,,,
8.5,56.0,0.0,11.539,,,
9.0,63.0,0.0,11.799,,,
9.5,69.0,0.0,12.021,,,
10.0,76.0,0.0,12.28,,,
10.5,84.0,0.0,12.576,,,
,,,,,,
,,,,,,
,,,,,,
12.5,114.0,0.1,12.743,,,
13.0,121.0,0.1,12.965,,,
13.5,128.0,0.1,13.187,,,
14.0,136.0,0.1,13.484,,,
,,,,,,
,,,,,,
15.5,159.0,0.2,13.582,,,
16.0,167.0,0.2,13.656,,,
,,,,,,
,,,,,,
17.5,191.0,0.3,13.73,,,
18.0,199.0,0.3,13.989,,,
,,,,,,
,,,,,,
,,,,,,
20.0,233.0,0.5,13.952,,,
20.5,241.0,0.5,14.026,,,
,,,,,,
21.5,259.0,0.6,14.063,,,
22.0,267.0,0.6,14.1,,,
22.5,277.0,0.6,14.248,,,
,,,,,,
23.5,294.0,0.7,14.303,,,
,,,,,,
24.5,312.0,0.8,14.34,,,
,,,,,,
,,,,,,
,,,,,,
26.5,349.0,1.0,14.405,,,
27.0,359.0,1.0,14.516,,,
27.5,369.0,1.1,14.627,,,
28.0,378.0,1.1,14.663,,,
28.5,387.0,1.2,14.713,,,
29.0,396.0,1.2,14.749,,,
,,,,,,
,,,,,,
30.5,427.0,1.4,14.836,,,
,,,,,,
31.5,447.0,1.5,14.909,,,
32.0,458.0,1.6,15.002,,,
32.5,469.0,1.7,15.113,,,
33.0,479.0,1.7,15.149,,,
,,,,,,
34.0,500.0,1.9,15.242,,,
34.5,510.0,1.9,15.241,,,
35.0,521.0,2.0,15.334,,,
35.5,532.0,2.1,15.407,,,
36.0,543.0,2.1,15.472,,,
36.5,555.0,2.2,15.546,,,
37.0,565.0,2.3,15.545,,,
37.5,578.0,2.4,15.693,,,
38.0,589.0,2.5,15.767,,,
38.5,601.0,2.5,15.878,,,
39.0,612.0,2.6,15.902,,,
39.5,624.0,2.7,15.976,,,
40.0,636.0,2.8,16.013,,,
,,,,,,
41.0,660.0,3.0,16.05,,,
41.5,672.0,3.0,16.123,,,
42.0,684.0,3.1,16.179,,,
42.5,696.0,3.2,16.253,,,
43.0,708.0,3.3,16.289,,,
,,,,,,
44.0,733.0,3.5,16.345,,,
44.5,747.0,3.6,16.456,,,
45.0,758.0,3.7,16.418,,,
45.5,772.0,3.8,16.566,,,
46.0,784.0,3.9,16.529,,,
46.5,798.0,4.0,16.639,,,
47.0,811.0,4.1,16.676,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51.0,922.0,5.0,16.782,,,
51.5,934.0,5.2,16.782,,,
52.0,946.0,5.3,16.781,,,
