t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3.0,5.0,-0.0,,,,
3.5,5.0,-0.0,,,,
4.0,5.0,-0.0,,,,
,,,,,,
5.0,13.0,-0.0,,,,
5.5,19.0,-0.0,,,,
6.0,26.0,-0.0,,,,
6.5,33.0,0.0,,,,
7.0,40.0,0.0,,,,
7.5,46.0,0.0,,,,
8.0,52.0,0.0,,,,
,,,,,,
9.0,66.0,0.0,,,,
9.5,73.0,0.0,,,,
10.0,82.0,0.0,,,,
10.5,89.0,0.0,,,,
11.0,97.0,0.0,0.306,,,
,,,,,,
,,,,,,
,,,,,,
13.0,128.0,0.1,0.335,,,
13.5,135.0,0.1,0.361,,,
14.0,144.0,0.1,0.395,,,
,,,,,,
,,,,,,
,,,,,,
16.0,177.0,0.2,0.412,,,
,,,,,,
17.0,193.0,0.3,0.419,,,
17.5,201.0,0.3,0.423,,,
,,,,,,
18.5,219.0,0.4,0.43,,,
19.0,228.0,0.4,0.438,,,
19.5,237.0,0.4,0.449,,,
,,,,,,
20.5,253.0,0.5,0.457,,,
21.0,263.0,0.5,0.468,,,
,,,,,,
22.0,281.0,0.6,0.476,,,
,,,,,,
23.0,300.0,0.7,0.478,,,
,,,,,,
,,,,,,
24.5,328.0,0.8,0.486,,,
,,,,,,
,,,,,,
26.0,355.0,1.0,0.49,,,
26.5,365.0,1.0,0.499,,,
27.0,374.0,1.0,0.506,,,
,,,,,,
28.0,394.0,1.2,0.51,,,
28.5,407.0,1.3,0.528,,,
29.0,418.0,1.3,0.539,,,
29.5,429.0,1.4,0.551,,,
30.0,438.0,1.4,0.551,,,
,,,,,,
31.0,458.0,1.6,0.554,,,
31.5,469.0,1.6,0.562,,,
32.0,479.0,1.7,0.569,,,
32.5,490.0,1.8,0.573,,,
33.0,501.0,1.8,0.581,,,
,,,,,,
34.0,522.0,2.0,0.585,,,
34.5,533.0,2.1,0.591,,,
,,,,,,
35.5,556.0,2.2,0.6,,,
36.0,566.0,2.3,0.6,,,
,,,,,,
37.0,587.0,2.4,0.606,,,
37.5,599.0,2.5,0.614,,,
,,,,,,
38.5,623.0,2.7,0.61,,,
39.0,635.0,2.8,0.614,,,
,,,,,,
40.0,658.0,3.0,0.615,,,
40.5,669.0,3.0,0.623,,,
41.0,681.0,3.1,0.63,,,
41.5,693.0,3.2,0.634,,,
42.0,706.0,3.3,0.646,,,
,,,,,,
,,,,,,
43.5,742.0,3.6,0.649,,,
44.0,756.0,3.7,0.661,,,
44.5,769.0,3.9,0.67,,,
45.0,780.0,4.0,0.67,,,
,,,,,,
,,,,,,
46.5,811.0,4.3,0.666,,,
,,,,,,
,,,,,,
48.0,833.0,4.7,0.656,,,
48.5,839.0,4.7,0.639,,,
,,,,,,
,,,,,,
,,,,,,
50.5,864.0,5.2,0.617,,,
51.0,870.0,5.4,0.594,,,
51.5,877.0,5.5,0.575,,,
52.0,883.0,5.6,0.555,,,
,,,,,,
53.0,896.0,5.8,0.538,,,
,,,,,,
54.0,911.0,6.1,0.521,,,
,,,,,,
55.0,929.0,6.3,0.509,,,
,,,,,,
,,,,,,
