t,v1,h1,a1,v2,h2,a2
1.65,2170.0,19.3,,,,
3.3,2210.0,19.6,,,,
4.95,2252.0,20.1,,,,
,,,,,,
8.25,2336.0,21.1,,,,
9.9,2378.0,21.5,,,,
11.55,2419.0,22.0,,,,
13.2,2463.0,22.4,,,,
,,,,,,
16.5,2553.0,23.4,,,,
18.15,2600.0,24.1,,,,
19.8,2646.0,24.4,,,,
21.45,2690.0,25.0,,,,
23.1,2740.0,25.5,,,,
24.75,2787.0,26.0,,,,
26.4,2834.0,26.6,,,,
28.05,2885.0,27.2,16.73,,,
29.7,2936.0,27.8,17.299,,,
31.35,2985.0,28.2,17.395,,,
33.0,3035.0,28.8,17.48,,,
34.65,3087.0,29.3,17.588,,,
36.3,3139.0,29.9,17.695,,,
37.95,3191.0,30.5,17.814,,,
39.6,3245.0,31.1,17.922,,,
41.25,3301.0,31.8,18.041,,,
42.9,3356.0,32.4,18.125,,,
44.55,3411.0,33.0,18.222,,,
46.2,3466.0,33.6,18.339,,,
47.85,3521.0,34.3,18.391,,,
49.5,3583.0,35.0,18.554,,,
51.15,3642.0,35.6,18.683,,,
52.8,3701.0,36.3,18.767,,,
54.45,3757.0,36.9,18.817,,,
56.1,3820.0,37.7,18.969,,,
57.75,3882.0,38.4,19.098,,,
59.4,3943.0,39.1,19.193,,,
61.05,4008.0,39.8,19.332,,,
62.7,4072.0,40.5,19.46,,,
,,,,,,
66.0,4205.0,42.1,19.594,,,
67.65,4270.0,42.8,19.687,,,
69.3,4337.0,43.6,19.814,,,
70.95,4407.0,44.4,19.975,,,
72.6,4474.0,45.2,20.102,,,
74.25,4543.0,45.9,20.25,,,
,,,,,,
77.55,4688.0,47.6,20.359,,,
79.2,4756.0,48.4,20.451,,,
80.85,4828.0,49.3,20.588,,,
82.5,4903.0,50.1,20.792,,,
84.15,4978.0,51.0,20.916,,,
85.8,5057.0,51.9,21.097,,,
87.45,5133.0,52.8,21.255,,,
89.1,5209.0,53.7,21.368,,,
90.75,5289.0,54.6,21.537,,,
92.4,5370.0,55.5,21.689,,,
94.05,5448.0,56.4,21.824,,,
95.7,5531.0,57.3,21.992,,,
97.35,5619.0,58.3,22.183,,,
99.0,5703.0,59.3,22.363,,,
100.65,5782.0,60.2,22.463,,,
102.3,5868.0,61.2,22.603,,,
103.95,5938.0,62.2,22.614,,,
105.6,5952.0,63.2,21.951,,,
107.25,5935.0,64.2,20.908,,,
108.9,5915.0,65.2,19.832,,,
110.55,5890.0,66.2,18.655,,,
112.2,5867.0,67.1,17.535,,,
113.85,5846.0,68.0,16.438,,,
115.5,5825.0,69.0,15.297,,,
117.15,5805.0,70.0,14.158,,,
118.8,5784.0,70.9,13.041,,,
120.45,5765.0,71.9,11.892,,,
122.1,5747.0,72.7,10.697,,,
123.75,5727.0,73.6,9.526,,,
125.4,5707.0,74.6,8.413,,,
127.05,5687.0,75.5,7.222,,,
128.7,5669.0,76.4,6.233,,,
130.35,5651.0,77.3,5.873,,,
132.0,5633.0,78.2,5.861,,,
133.65,5616.0,79.1,5.894,,,
135.3,5596.0,80.0,5.95,,,
136.95,5576.0,80.9,5.983,,,
138.6,5555.0,81.7,5.983,5747.0,81.9,
140.25,5525.0,82.6,5.881,5752.0,82.9,
141.9,5494.0,83.5,5.757,5757.0,83.7,
143.55,5462.0,84.3,5.633,5761.0,84.6,
145.2,5422.0,85.2,5.397,5767.0,85.5,
146.85,5364.0,86.0,4.949,5772.0,86.4,
148.5,5304.0,86.8,4.501,5776.0,87.2,
150.15,5235.0,87.7,3.952,5782.0,88.2,
151.8,5168.0,88.5,3.426,5787.0,89.1,
153.45,5103.0,89.4,2.9,5792.0,89.9,
155.1,5038.0,90.2,2.375,5797.0,90.8,
156.75,4976.0,91.0,1.884,5802.0,91.7,
158.4,4913.0,91.8,1.37,5806.0,92.5,
160.05,4848.0,92.6,0.868,5811.0,93.4,
161.7,4771.0,93.4,0.232,5816.0,94.3,9.968
163.35,4694.0,94.2,-0.392,5820.0,95.1,10.012
165.0,4617.0,95.0,-0.915,5825.0,96.0,10.008
166.65,4543.0,95.8,-1.393,5829.0,96.8,9.994
168.3,4466.0,96.5,-1.893,5833.0,97.7,9.99
169.95,4388.0,97.2,-2.315,5837.0,98.5,9.964
171.6,4301.0,98.0,-2.635,5842.0,99.4,9.961
173.25,4216.0,98.8,-2.91,5846.0,100.0,9.957
174.9,4132.0,99.5,-3.073,5851.0,101.0,9.943
176.55,4045.0,100.0,-3.293,5856.0,101.0,9.937
178.2,3959.0,101.0,-3.522,5861.0,102.0,9.935
179.85,3880.0,101.0,-3.676,5866.0,103.0,9.933
181.5,3791.0,102.0,-3.971,5872.0,104.0,9.942
183.15,3708.0,103.0,-4.188,5877.0,105.0,9.951
